序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,科创次新股,30,696.79,11.74%,118.0,127.81,-9.82
2,CRO概念,77,1059.82,10.55%,71.82,78.09,-6.27
3,重组蛋白,126,834.79,10.10%,24.04,30.84,-6.8
4,国家大基金持股,52,3037.14,9.86%,345.35,322.97,22.38
5,注册制次新股,92,165.88,9.64%,162.24,170.81,-8.57
6,细胞免疫治疗,66,1263.62,9.40%,33.59,40.67,-7.09
7,汽车芯片,146,1389.8,8.72%,367.28,339.9,27.37
8,MCU芯片,96,1745.39,7.91%,184.25,174.32,9.92
9,存储芯片,203,2742.32,7.83%,899.14,848.45,50.69
10,中芯国际概念,91,3432.35,7.81%,322.4,297.9,24.5
11,智能音箱,60,2813.68,7.74%,94.85,117.29,-22.44
12,无线耳机,99,2624.87,7.70%,180.55,197.07,-16.51
13,减肥药,67,1469.42,7.70%,39.25,44.86,-5.62
14,猴痘概念,75,923.92,7.70%,24.93,30.97,-6.04
15,星闪概念,74,1426.13,7.55%,51.64,57.62,-5.98
16,先进封装,207,2756.1,7.49%,772.31,760.84,11.47
17,AI眼镜,194,2725.84,7.38%,341.14,370.71,-29.57
18,智能穿戴,243,4455.81,7.28%,391.66,430.32,-38.66
19,光刻胶,80,5035.2,7.28%,119.62,104.14,15.48
20,电子纸,27,1301.07,7.13%,40.76,37.42,3.34
21,阿尔茨海默概念,90,1321.37,7.06%,21.67,28.9,-7.24
22,租售同权,29,847.58,7.04%,10.06,15.13,-5.07
23,共封装光学(CPO),219,6371.02,7.01%,1126.3,1175.0,-48.69
24,新股与次新股,163,12629.6,6.98%,162.24,170.81,-8.57
25,消费电子概念,509,3309.11,6.95%,852.91,897.91,-45.0
26,拼多多概念,40,1683.56,6.94%,17.71,20.5,-2.79
27,基因测序,71,2114.31,6.92%,39.72,49.02,-9.3
28,玻璃基板,61,691.13,6.82%,158.91,154.67,4.24
29,辅助生殖,74,1277.01,6.74%,32.64,39.68,-7.03
30,C2M概念,39,2002.16,6.66%,12.7,14.71,-2.01
