序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
31,芯片概念,930,5095.48,6.65%,2171.37,2192.6,-21.23
32,第三代半导体,183,2634.51,6.63%,412.22,406.74,5.48
33,苹果概念,140,6106.91,6.59%,309.47,350.84,-41.37
34,光刻机,52,2633.99,6.56%,125.6,116.73,8.88
35,托育服务,16,1098.03,6.51%,7.29,8.12,-0.83
36,牙科医疗,30,1166.52,6.41%,43.42,44.66,-1.24
37,富士康概念,109,3846.2,6.33%,218.92,228.65,-9.74
38,6G概念,99,2600.02,6.32%,295.2,318.21,-23.01
39,F5G概念,36,4583.64,6.31%,218.05,233.06,-15.01
40,OLED,156,3138.29,6.22%,401.45,391.72,9.73
41,人造肉,20,1649.49,6.20%,9.77,11.52,-1.75
42,华为海思概念股,52,4225.45,6.15%,126.48,117.28,9.2
43,毫米波雷达,126,2211.02,6.15%,336.95,360.31,-23.35
44,传感器,272,1631.73,6.12%,316.75,319.35,-2.6
45,PCB概念,239,2835.17,6.05%,884.96,899.59,-14.63
46,创新药,277,1321.77,6.03%,128.53,158.96,-30.42
47,汽车电子,397,5883.06,5.99%,917.07,927.45,-10.38
48,智谱AI,71,1414.68,5.96%,66.48,80.06,-13.59
49,合成生物,170,1624.93,5.92%,91.69,109.54,-17.86
50,肝炎概念,140,1162.38,5.92%,48.41,65.57,-17.16
51,英伟达概念,81,1914.41,5.92%,261.22,267.48,-6.26
52,智能座舱,171,1625.54,5.92%,233.26,242.55,-9.29
53,新型烟草(电子烟),53,2155.22,5.86%,78.25,82.14,-3.89
54,柔性屏(折叠屏),110,3315.33,5.82%,205.27,215.9,-10.63
55,MiniLED,108,2873.86,5.77%,329.36,350.33,-20.97
56,同花顺果指数,20,2293.52,5.77%,109.67,143.18,-33.51
57,无线充电,60,2123.76,5.64%,67.51,75.06,-7.55
58,小红书概念,55,1502.57,5.57%,47.32,56.46,-9.14
59,知识产权保护,51,1778.07,5.56%,31.93,34.85,-2.92
60,多模态AI,158,1298.84,5.53%,121.84,156.16,-34.32
61,智能医疗,341,4582.86,5.52%,236.86,278.56,-41.69
62,专精特新,1249,1644.6,5.51%,913.03,911.7,1.33
63,小米概念,375,2094.37,5.46%,608.52,625.73,-17.21
64,云办公,49,1857.57,5.46%,50.07,55.73,-5.66
65,5G,454,6751.9,5.41%,1321.34,1395.65,-74.31
66,智慧灯杆,63,1567.74,5.41%,39.39,48.29,-8.91
67,ERP概念,35,1346.9,5.40%,16.37,18.62,-2.25
68,MicroLED概念,82,1795.75,5.40%,156.91,158.73,-1.82
69,语音技术,62,1872.79,5.40%,34.05,43.02,-8.97
70,上海自贸区,58,4429.35,5.37%,68.48,68.49,-0.01
71,流感,163,1504.81,5.36%,60.02,84.98,-24.96
72,MLCC概念,38,1214.98,5.36%,183.28,177.6,5.68
73,机器视觉,251,1941.02,5.30%,210.85,230.38,-19.53
74,华为昇腾,105,1497.54,5.29%,65.52,75.44,-9.92
75,医疗器械概念,416,3100.21,5.28%,258.1,301.05,-42.94
76,染料,40,1544.38,5.28%,18.17,19.29,-1.12
77,幽门螺杆菌概念,74,1057.62,5.28%,17.32,23.04,-5.72
78,ChatGPT概念,140,1789.99,5.28%,121.86,153.35,-31.49
79,同花顺新质50,50,2260.3,5.28%,349.21,369.7,-20.48
80,快手概念,52,1916.99,5.24%,42.77,55.46,-12.69
81,华为手机,45,1711.9,5.24%,114.74,134.21,-19.47
82,AI应用,548,873.14,5.20%,368.71,442.04,-73.33
83,脑机接口,73,1578.62,5.20%,56.53,65.3,-8.76
84,智能家居,292,3789.38,5.20%,221.7,241.2,-19.5
85,云游戏,27,1511.17,5.16%,26.24,28.99,-2.75
86,人民币贬值受益,610,2388.12,5.15%,806.92,868.25,-61.33
87,MR(混合现实),71,1740.44,5.13%,89.6,113.95,-24.36
88,血氧仪,24,1757.18,5.13%,22.39,24.78,-2.38
89,空间计算,63,1267.5,5.12%,18.78,24.82,-6.03
90,华为盘古,30,1006.57,5.10%,19.39,21.6,-2.21
91,太赫兹,24,2072.57,5.09%,68.9,74.94,-6.04
92,抖音概念(字节概念),218,1700.99,5.09%,306.49,347.96,-41.47
93,MLOps概念,18,1028.12,5.06%,11.79,14.61,-2.82
94,核污染防治,59,1615.93,5.05%,33.36,39.37,-6.02
95,AI视频,64,2203.03,5.04%,78.77,97.4,-18.63
96,信创,303,1998.54,5.04%,241.76,277.4,-35.64
97,光纤概念,115,3962.48,5.02%,526.56,555.42,-28.86
98,AIGC概念,297,2039.89,5.01%,231.02,274.31,-43.29
99,POE胶膜,29,903.67,4.99%,20.44,21.73,-1.29
100,在线教育,127,2974.61,4.98%,84.25,103.18,-18.93
101,NFT概念,70,1703.45,4.96%,37.08,51.65,-14.57
102,眼科医疗,63,1741.0,4.92%,23.11,27.99,-4.88
103,虚拟现实,288,1020.27,4.88%,317.39,370.66,-53.27
104,石墨烯,78,1795.67,4.87%,85.38,100.54,-15.16
105,仿制药一致性评价,145,1687.29,4.86%,55.27,74.94,-19.67
106,液冷服务器,241,2291.77,4.84%,548.44,602.43,-53.99
107,宠物经济,127,1456.13,4.84%,32.95,42.03,-9.08
108,腾讯概念,299,1336.96,4.83%,362.42,405.69,-43.28
109,东数西算(算力),415,2246.71,4.82%,765.72,820.11,-54.38
110,数据安全,176,1140.47,4.81%,221.74,234.26,-12.52
111,BC电池,52,1211.67,4.81%,75.45,74.72,0.72
112,人工智能,1085,1321.43,4.80%,865.07,985.29,-120.22
113,食品安全,73,4837.84,4.79%,35.16,39.06,-3.91
114,横琴新区,38,1877.13,4.78%,25.5,34.76,-9.26
115,医美概念,96,1305.22,4.77%,52.8,59.7,-6.9
116,阿里巴巴概念,696,1942.18,4.75%,508.36,575.24,-66.88
117,百度概念,232,1913.45,4.75%,231.6,270.72,-39.12
118,华为概念,1006,3540.53,4.74%,1410.92,1559.35,-148.44
119,物联网,472,3032.02,4.72%,485.02,526.0,-40.98
120,跨境电商,343,973.12,4.72%,175.64,211.9,-36.26
121,AI智能体,464,1365.45,4.70%,352.19,416.49,-64.3
122,烟草,42,1565.37,4.68%,11.5,13.86,-2.36
123,粤港澳大湾区,498,2656.83,4.68%,490.04,542.54,-52.5
124,鸿蒙概念,262,1777.82,4.68%,151.25,181.94,-30.68
125,人形机器人,467,2403.63,4.66%,552.07,607.23,-55.16
126,AI手机,40,2028.05,4.65%,130.65,149.89,-19.24
127,有机硅概念,56,2010.08,4.63%,36.84,38.42,-1.59
128,财税数字化,66,1706.91,4.58%,41.68,54.66,-12.98
129,AI语料,53,1163.09,4.57%,53.49,69.4,-15.91
130,EDR概念,20,1561.4,4.57%,49.26,54.3,-5.05
131,海峡两岸,319,1905.3,4.56%,405.93,466.05,-60.12
132,数据确权,69,1473.73,4.54%,51.02,65.18,-14.16
133,生物疫苗,62,1681.41,4.50%,18.3,28.45,-10.15
134,云计算,224,3801.18,4.48%,230.69,265.14,-34.45
135,独角兽概念,108,1970.68,4.48%,155.86,186.9,-31.04
136,三胎概念,213,2303.85,4.43%,73.72,88.13,-14.4
137,3D打印,142,4438.52,4.42%,204.38,216.72,-12.34
138,Web3.0,64,1738.02,4.41%,41.34,53.52,-12.18
139,工业母机,117,1918.86,4.39%,123.14,122.65,0.49
140,网络安全,195,5458.38,4.37%,248.43,268.66,-20.23
141,数据中心(AIDC),658,2333.25,4.37%,1392.3,1490.59,-98.29
142,房屋检测,45,1654.47,4.36%,9.83,14.54,-4.71
143,比亚迪概念,695,1927.3,4.36%,763.29,802.55,-39.26
144,安防,179,4824.04,4.34%,111.69,124.77,-13.08
145,毛发医疗,27,1166.16,4.33%,8.9,12.08,-3.18
146,算力租赁,192,1414.7,4.31%,201.02,235.84,-34.82
147,维生素,77,1382.97,4.28%,23.58,34.93,-11.35
148,钙钛矿电池,92,1101.38,4.27%,138.0,137.81,0.2
149,华为欧拉,47,1420.16,4.27%,25.54,32.24,-6.7
150,TOPCON电池,82,1124.98,4.27%,100.51,106.73,-6.23
151,HJT电池,69,2991.27,4.27%,82.48,82.14,0.34
152,数据要素,400,1197.86,4.25%,271.37,321.84,-50.46
153,卫星导航,280,4555.97,4.23%,372.04,398.86,-26.82
154,华为鲲鹏,176,1351.21,4.22%,118.32,148.0,-29.68
155,长三角一体化,234,2006.2,4.21%,182.56,180.4,2.15
156,股权转让(并购重组),588,1120.6,4.21%,170.81,200.11,-29.3
157,新型工业化,292,1689.54,4.21%,208.23,224.31,-16.08
158,家用电器,184,4063.12,4.20%,129.08,137.79,-8.7
159,电子竞技,37,479.21,4.18%,20.73,25.8,-5.07
160,车联网(车路协同),297,1149.13,4.18%,247.7,280.41,-32.71
161,2026中报预增,513,1114.39,4.16%,1419.04,1495.42,-76.39
162,机器人概念,1229,3935.58,4.15%,1110.01,1242.24,-132.23
163,元宇宙,181,1826.93,4.15%,134.73,173.43,-38.71
164,DeepSeek概念,770,1631.55,4.14%,726.09,832.13,-106.04
165,智慧政务,222,1417.64,4.12%,145.3,176.28,-30.98
166,短剧游戏,92,1289.94,4.09%,75.24,91.97,-16.72
167,无人驾驶,408,2883.7,4.08%,600.83,658.67,-57.84
168,融资融券,3872,1807.41,4.08%,4463.93,4849.9,-385.97
169,虚拟数字人,176,1376.62,4.05%,113.32,149.6,-36.28
170,减速器,139,1834.32,4.02%,85.94,101.02,-15.08
171,文化传媒概念,197,2817.27,4.01%,115.71,152.08,-36.37
172,电子身份证,39,1293.05,3.98%,26.74,33.59,-6.85
173,蚂蚁集团概念,80,1539.24,3.97%,49.31,63.02,-13.72
174,PEEK材料,54,1905.15,3.96%,83.24,80.66,2.59
175,医药电商,186,1025.51,3.91%,55.31,75.4,-20.09
176,举牌,22,3096.46,3.87%,6.93,7.5,-0.58
177,养老概念,224,2140.41,3.87%,97.57,124.07,-26.5
178,共同富裕示范区,192,1501.22,3.86%,96.67,109.49,-12.82
179,露营经济,55,1637.59,3.86%,11.59,17.09,-5.5
180,移动支付,78,2309.63,3.85%,58.44,64.97,-6.52
181,汽车热管理,143,2049.83,3.84%,92.61,104.35,-11.74
182,青蒿素,11,2050.13,3.84%,3.6,5.84,-2.24
183,物业管理,183,1206.7,3.83%,76.57,105.22,-28.66
184,数字孪生,214,1901.14,3.79%,139.24,170.13,-30.89
185,数字货币,91,1963.18,3.76%,80.63,91.7,-11.07
186,职业教育,137,1623.79,3.76%,57.95,81.0,-23.05
187,时空大数据,70,1440.87,3.75%,29.06,39.78,-10.72
188,商业航天,508,2184.32,3.74%,801.25,863.29,-62.04
189,体育产业,136,1019.58,3.72%,46.74,61.02,-14.28
190,量子科技,116,2473.75,3.72%,225.65,242.77,-17.12
191,PVDF概念,17,1415.03,3.72%,27.77,24.8,2.97
192,特斯拉概念,249,5377.4,3.70%,370.45,421.96,-51.51
193,人脸识别,109,1320.92,3.69%,55.1,62.2,-7.11
194,PET铜箔,49,2071.07,3.68%,186.29,187.64,-1.35
195,共享单车,14,1051.99,3.67%,2.79,3.36,-0.57
196,可降解塑料,174,1536.79,3.67%,50.04,57.64,-7.6
197,新能源汽车,1062,4633.73,3.66%,1299.52,1427.94,-128.42
198,深股通,1887,1313.82,3.64%,2330.67,2568.28,-237.61
199,化债概念(AMC概念),41,1137.49,3.64%,16.36,21.93,-5.57
200,区块链,261,1476.79,3.63%,216.14,252.49,-36.35
201,氟化工概念,69,5418.97,3.61%,110.09,105.87,4.23
202,高压快充,125,1949.79,3.61%,169.27,191.13,-21.87
203,DRG/DIP,22,921.68,3.58%,6.55,8.69,-2.14
204,家庭医生,26,1195.46,3.55%,18.33,26.62,-8.29
205,工业互联网,441,2662.08,3.55%,513.81,563.3,-49.49
206,固态电池,299,1413.08,3.54%,486.77,535.57,-48.79
207,无人机,467,3044.92,3.54%,486.66,558.61,-71.95
208,宁德时代概念,302,2258.27,3.54%,441.62,488.64,-47.02
209,智慧城市,419,4202.06,3.53%,285.27,337.41,-52.14
210,足球概念,40,1480.63,3.53%,16.7,23.29,-6.59
211,智能物流,256,1092.89,3.53%,155.82,181.98,-26.15
212,互联网保险,22,908.5,3.43%,23.5,36.6,-13.1
213,稀土永磁,65,3552.61,3.42%,76.11,79.83,-3.72
214,福建自贸区,127,1619.19,3.38%,113.95,137.41,-23.46
215,创投,469,3520.72,3.38%,532.89,602.39,-69.5
216,电力物联网,85,1975.34,3.38%,47.57,47.1,0.47
217,无人零售,26,1346.01,3.37%,14.37,14.13,0.25
218,民营医院,75,1588.58,3.37%,49.23,65.25,-16.02
219,光伏概念,602,4332.6,3.36%,851.15,867.6,-16.46
220,沪股通,1645,2403.24,3.36%,2181.34,2388.39,-207.05
221,网络游戏,58,1613.66,3.34%,62.72,73.99,-11.27
222,锂电池概念,613,1902.78,3.34%,833.03,916.84,-83.81
223,环氧丙烷,26,1599.2,3.33%,15.41,19.25,-3.85
224,网红经济,118,1445.16,3.32%,44.76,64.72,-19.96
225,手机游戏,56,2764.48,3.31%,39.6,50.1,-10.5
226,互联网金融,215,5895.93,3.30%,128.27,166.93,-38.66
227,华为汽车,174,2811.11,3.28%,191.13,233.5,-42.37
228,芬太尼,8,2145.4,3.28%,1.15,1.46,-0.32
229,IP经济(谷子经济),198,1262.14,3.27%,83.65,116.82,-33.17
230,数字经济,513,1553.37,3.26%,356.06,430.11,-74.06
231,冰雪产业,59,1326.33,3.20%,17.55,29.01,-11.45
232,动物疫苗,20,1505.26,3.19%,10.95,14.31,-3.37
233,长安汽车概念,460,1529.63,3.19%,196.19,237.3,-41.1
234,铜缆高速连接,48,3184.11,3.19%,164.49,181.51,-17.03
235,数字水印,29,1099.67,3.18%,46.76,50.52,-3.76
236,柔性直流输电,67,1522.16,3.17%,129.1,144.96,-15.87
237,上海国企改革,110,1798.57,3.15%,28.26,32.88,-4.62
238,高端装备,399,3272.32,3.15%,418.04,455.06,-37.03
239,空气能热泵,56,1511.58,3.14%,34.45,44.46,-10.02
240,一体化压铸,54,1199.36,3.14%,32.63,37.94,-5.31
241,中船系,20,1868.64,3.12%,33.13,35.2,-2.07
242,超级电容,45,3129.22,3.10%,135.17,134.66,0.51
243,京津冀一体化,292,1962.74,3.09%,196.17,220.01,-23.85
244,ETC,42,1714.45,3.09%,14.91,16.79,-1.87
245,丙烯酸,20,2017.58,3.08%,15.58,19.15,-3.57
246,摘帽,80,1011.57,3.07%,36.5,40.6,-4.1
247,低空经济,503,2072.29,3.07%,450.56,516.86,-66.31
248,2026一季报预增,101,1189.65,3.06%,309.74,317.45,-7.71
249,小米汽车,122,1532.07,3.06%,164.03,195.2,-31.17
250,白酒概念,48,6168.37,3.03%,24.35,30.34,-5.99
251,海工装备,272,3549.1,3.03%,343.98,389.06,-45.08
252,新型城镇化,220,1280.09,3.00%,56.72,78.91,-22.19
253,汽车拆解概念,46,1570.33,3.00%,27.52,35.68,-8.16
254,碳纤维,82,1986.81,2.97%,67.03,71.93,-4.91
255,充电桩,390,6424.87,2.97%,390.08,442.9,-52.83
256,装配式建筑,108,987.11,2.96%,29.35,39.41,-10.07
257,特高压,132,5030.66,2.95%,249.37,266.06,-16.69
258,国产操作系统,134,1717.0,2.94%,137.7,146.8,-9.1
259,硅能源,70,1110.72,2.90%,73.32,80.65,-7.33
260,黑龙江自贸区,36,1843.29,2.88%,25.85,36.02,-10.17
261,军工,551,2340.6,2.87%,668.78,734.41,-65.62
262,高压氧舱,11,1202.64,2.87%,8.01,8.88,-0.87
263,广东自贸区,28,1287.8,2.85%,24.53,32.75,-8.22
264,储能,903,2463.39,2.84%,980.46,1086.34,-105.88
265,网约车,29,1429.87,2.77%,17.45,20.58,-3.13
266,换电概念,94,1532.91,2.75%,121.06,146.38,-25.32
267,特色小镇,40,505.36,2.72%,14.17,17.21,-3.04
268,民爆概念,25,1768.41,2.72%,11.12,16.74,-5.62
269,军工信息化,113,1594.37,2.69%,48.22,61.24,-13.02
270,华为数字能源,46,1664.16,2.66%,64.09,75.56,-11.47
271,数字乡村,101,1730.76,2.65%,63.58,70.44,-6.86
272,深圳国企改革,58,1860.16,2.64%,23.08,29.95,-6.87
273,智能电网,278,3780.62,2.62%,320.7,353.22,-32.52
274,碳中和,277,1938.13,2.57%,220.65,251.51,-30.86
275,一带一路,796,2371.6,2.57%,699.51,800.24,-100.73
276,成飞概念,43,1780.68,2.55%,30.68,36.5,-5.82
277,参股银行,776,1480.93,2.53%,157.37,193.2,-35.83
278,建筑节能,103,1437.19,2.52%,39.69,50.39,-10.7
279,农机,99,1261.55,2.51%,67.33,72.16,-4.83
280,PM2.5,36,1804.91,2.50%,16.29,21.23,-4.94
281,禽流感,23,2155.11,2.49%,7.03,8.8,-1.77
282,动力电池回收,95,838.29,2.48%,154.64,188.55,-33.91
283,氢能源,407,2627.06,2.46%,380.47,412.65,-32.18
284,飞行汽车(eVTOL),272,1789.24,2.45%,92.9,104.12,-11.23
285,航空发动机,99,3175.94,2.45%,84.17,94.02,-9.86
286,两轮车,79,1608.34,2.44%,41.05,45.72,-4.66
287,土地流转,44,2019.98,2.39%,28.95,40.61,-11.66
288,高铁,182,3602.43,2.33%,97.92,118.64,-20.73
289,玉米,34,2658.04,2.32%,34.34,46.53,-12.19
290,核电,351,4006.1,2.31%,319.52,365.86,-46.35
291,钠离子电池,143,1219.98,2.30%,203.81,237.04,-33.23
292,燃料电池,213,1955.4,2.25%,179.77,203.05,-23.27
293,金属镍,39,1234.95,2.24%,46.44,55.16,-8.72
294,磷化工,67,3018.64,2.24%,68.46,78.58,-10.12
295,可控核聚变,116,2290.82,2.23%,218.66,229.71,-11.05
296,消毒剂,61,2038.26,2.20%,47.84,53.03,-5.19
297,金属回收,90,1160.28,2.19%,95.47,105.64,-10.17
298,西部大开发,636,1834.76,2.18%,549.08,630.94,-81.86
299,中俄贸易概念,180,1613.56,2.17%,69.31,82.38,-13.08
300,水利,263,2406.0,2.16%,169.53,203.92,-34.39
301,冷链物流,155,1792.73,2.15%,86.09,122.14,-36.05
302,期货概念,70,1754.71,2.14%,42.54,61.2,-18.66
303,光伏建筑一体化,134,1520.64,2.14%,81.04,100.13,-19.09
304,国资云,54,1512.15,2.13%,62.05,70.12,-8.07
305,工业大麻,31,1465.31,2.09%,12.22,14.99,-2.77
306,军民融合,245,1526.41,2.05%,175.79,222.67,-46.87
307,超导概念,32,2455.12,2.05%,88.01,100.14,-12.13
308,中韩自贸区,17,2530.54,2.03%,17.6,14.28,3.31
309,风电,445,1279.51,2.02%,579.58,638.46,-58.88
310,虚拟电厂,158,1498.03,1.99%,118.31,139.92,-21.61
311,净水概念,78,1152.35,1.98%,35.88,38.63,-2.75
312,地下管网,113,1312.03,1.96%,28.88,40.35,-11.46
313,污水处理,228,1777.11,1.96%,107.85,125.44,-17.59
314,跨境支付(CIPS),73,1545.4,1.94%,87.39,118.02,-30.62
315,小金属概念,172,3496.72,1.93%,273.52,316.46,-42.95
316,金属钴,33,2585.87,1.92%,75.28,88.2,-12.92
317,大飞机,143,3624.59,1.91%,126.58,141.42,-14.84
318,参股券商,226,1487.64,1.83%,69.97,95.18,-25.21
319,国企改革,2946,1425.6,1.79%,1331.93,1540.54,-208.61
320,盐湖提锂,45,1791.37,1.67%,54.8,83.85,-29.05
321,钒电池,38,1397.75,1.62%,23.34,29.06,-5.72
322,转基因,21,1928.53,1.55%,19.36,26.24,-6.87
323,农业种植,96,2512.94,1.55%,52.09,71.63,-19.54
324,钛白粉概念,15,1826.89,1.52%,5.37,6.92,-1.55
325,石墨电极,26,1013.61,1.50%,15.81,15.94,-0.13
326,旅游概念,151,2722.48,1.48%,83.38,112.83,-29.45
327,俄乌冲突概念,75,1478.1,1.46%,86.43,93.89,-7.46
328,垃圾分类,98,1801.77,1.44%,31.05,34.65,-3.6
329,乳业,35,2053.39,1.41%,16.81,19.89,-3.08
330,乡村振兴,438,1135.14,1.39%,304.43,369.97,-65.54
331,统一大市场,120,1347.36,1.35%,43.83,60.8,-16.98
332,同花顺漂亮100,100,802.7,1.32%,373.55,478.39,-104.84
333,碳交易,121,1001.27,1.25%,102.95,126.16,-23.22
334,天然气,167,1656.23,1.24%,113.9,130.18,-16.28
335,代糖概念,25,942.0,1.23%,18.52,25.28,-6.77
336,雄安新区,196,1119.28,1.20%,85.82,115.62,-29.8
337,绿色电力,429,1161.33,1.19%,401.25,470.81,-69.56
338,中字头股票,134,1766.71,1.15%,235.74,261.22,-25.49
339,国产航母,36,1995.98,1.14%,54.38,63.27,-8.89
340,光热发电,51,990.38,1.11%,20.58,29.25,-8.67
341,金属铅,38,1918.1,1.09%,55.93,73.28,-17.35
342,天津自贸区,17,1086.55,1.07%,7.1,9.05,-1.95
343,土壤修复,91,1035.66,1.06%,48.79,63.74,-14.95
344,超级品牌,49,1444.79,1.06%,66.69,83.23,-16.54
345,央企国企改革,788,3061.48,1.03%,453.57,519.24,-65.67
346,金属锌,43,2140.89,0.99%,53.84,72.24,-18.4
347,固废处理,156,2202.23,0.98%,70.79,77.76,-6.97
348,粮食概念,49,929.4,0.91%,51.36,69.81,-18.45
349,煤炭概念,89,2350.81,0.89%,89.21,101.35,-12.14
350,赛马概念,4,1073.45,0.85%,1.13,1.78,-0.65
351,培育钻石,19,2602.11,0.84%,39.93,52.46,-12.53
352,供销社,15,1120.03,0.79%,9.28,11.86,-2.58
353,PPP概念,200,912.45,0.79%,78.39,98.64,-20.26
354,金属铜,93,1789.15,0.78%,136.28,166.95,-30.67
355,化肥,75,1006.34,0.77%,56.93,75.5,-18.57
356,雅下水电概念,89,1242.44,0.76%,82.67,109.14,-26.47
357,新疆振兴,156,988.87,0.71%,88.93,110.54,-21.6
358,航运概念,87,1731.46,0.67%,88.85,104.22,-15.37
359,预制菜,101,1042.13,0.66%,38.09,51.76,-13.66
360,煤化工概念,110,2442.44,0.65%,99.93,116.56,-16.62
361,参股保险,96,1384.34,0.52%,24.77,33.26,-8.49
362,NMN概念,25,1294.41,0.50%,7.35,9.44,-2.09
363,黄金概念,83,3685.35,0.45%,105.75,141.47,-35.73
364,海南自贸区,30,1484.74,0.28%,44.65,49.39,-4.74
365,生物质能发电,65,1047.12,0.26%,31.57,37.01,-5.44
366,特钢概念,43,2896.99,0.23%,16.2,17.97,-1.77
367,同花顺中特估100,100,1170.38,0.22%,246.47,300.94,-54.47
368,啤酒概念,29,1471.42,0.14%,14.26,20.38,-6.12
369,生态农业,66,1626.65,0.08%,38.9,52.8,-13.9
370,页岩气,50,2649.96,0.02%,41.39,46.45,-5.06
371,高股息精选,285,1490.71,0.00%,215.69,268.18,-52.49
372,信托概念,23,1147.69,-0.06%,10.8,17.19,-6.39
373,水泥概念,46,1165.38,-0.13%,14.48,23.61,-9.13
374,超超临界发电,87,1579.45,-0.14%,59.57,80.34,-20.77
375,ST板块,204,501.61,-0.19%,37.37,54.22,-16.85
376,农村电商,37,1751.0,-0.29%,18.72,26.59,-7.87
377,养鸡,22,1198.36,-0.35%,10.3,11.33,-1.03
378,抽水蓄能,82,1517.06,-0.41%,94.58,110.49,-15.9
379,同花顺出海50,50,1794.6,-0.43%,308.36,379.27,-70.91
380,自由贸易港,47,963.83,-0.49%,21.36,28.58,-7.21
381,猪肉,32,2433.38,-0.66%,24.57,26.04,-1.47
382,大豆,14,1714.5,-0.74%,8.2,12.34,-4.15
383,证金持股,33,1123.09,-1.01%,77.68,107.53,-29.85
384,草甘膦,19,1464.47,-1.06%,10.4,14.63,-4.23
385,可燃冰,14,1501.67,-1.31%,7.39,10.02,-2.62
386,免税店,26,909.1,-1.80%,14.33,21.57,-7.24
387,兵装重组概念,14,1135.99,-2.57%,6.14,9.71,-3.57
