代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正
sz159671,稀有金属ETF工银,2026-09-22,1.263,2.18,-4.39,-21.41,34.5,-27.62,1.2873,1.326,空头排列,0.45,33517573.8,860,0
sz159667,工业母机ETF国泰,2026-09-22,0.656,2.98,0.15,-28.23,44.1,-28.62,0.6517,0.6866,均线纠缠偏空,0.5,127413838.15,951,1
sz159665,半导体龙头ETF工银,2026-09-22,2.467,8.3,4.27,-30.05,43.9,-30.05,2.3717,2.5784,均线纠缠偏空,0.5,40304081.3,900,0
sz159663,机床ETF华夏,2026-09-22,0.986,3.14,0.41,-26.53,46.6,-26.75,0.9779,1.0257,均线纠缠偏空,0.46,70595935.0,951,1
sz159652,有色ETF汇添富,2026-09-22,1.562,0.26,-4.81,-0.38,30.7,-30.42,1.6228,1.588,均线纠缠偏空,0.69,148506404.2,882,0
sz159636,港股通科技30ETF工银,2026-09-22,0.507,3.47,-2.69,5.63,14.0,-36.74,0.5052,0.5191,均线纠缠偏空,0.34,226435365.45,1015,1
sz159625,绿色电力ETF嘉实,2026-09-22,1.204,-1.31,0.67,0.33,15.2,-15.69,1.2115,1.2111,均线纠缠偏空,0.79,35470773.4,1069,0
sz159622,创新药ETF东财,2026-09-22,1.219,6.09,1.5,20.45,85.0,-4.39,1.1777,1.1476,多头排列,0.5,81328400.75,822,0
sz159615,恒生生物科技ETF南方,2026-09-22,1.196,6.98,2.22,28.05,63.6,-13.33,1.1479,1.0939,多头排列,0.72,99949097.95,1031,0
sz159611,电力ETF广发,2026-09-22,1.034,-1.9,-0.1,0.19,13.9,-17.74,1.0457,1.0474,空头排列,0.52,340274866.55,1142,0
sz159608,稀有金属ETF广发,2026-09-22,1.027,1.99,-4.64,-21.72,32.7,-27.88,1.0488,1.0815,空头排列,0.41,73662662.45,1152,0
sz159599,芯片ETF东财,2026-09-22,2.82,8.92,3.71,-30.68,43.2,-30.68,2.7128,2.9718,均线纠缠偏空,0.62,143109950.4,581,0
sz159590,软件ETF汇添富,2026-09-22,0.888,4.35,2.66,0.79,11.7,-35.93,0.878,0.8854,均线纠缠偏多,0.66,39876251.85,459,0
sz159587,粮食ETF广发,2026-09-22,1.235,4.75,3.78,16.4,36.9,-20.73,1.2554,1.1593,均线纠缠偏多,1.16,97973351.45,505,0
sz159583,通信ETF富国,2026-09-22,1.733,7.37,8.18,-17.63,63.3,-19.92,1.658,1.6782,均线纠缠偏多,0.96,518517927.9,538,1
sz159582,半导体ETF博时,2026-09-22,0.765,6.99,2.82,-21.08,66.7,-21.61,0.7405,0.7897,均线纠缠偏空,0.73,85907837.7,594,1
sz159570,港股通创新药ETF汇添富,2026-09-22,1.476,4.98,0.61,17.24,33.1,-27.15,1.4478,1.4316,多头排列,0.59,1729907956.25,647,0
sz159569,港股红利低波ETF景顺,2026-09-22,1.388,0.51,-2.73,12.85,56.2,-8.14,1.4013,1.3737,均线纠缠偏多,0.81,62099783.1,506,0
sz159568,港股互联网ETF博时,2026-09-22,1.082,1.6,-3.99,4.44,7.0,-48.23,1.0928,1.1441,空头排列,0.41,50700707.3,627,0
sz159567,港股创新药ETF银华,2026-09-22,0.713,4.7,0.42,17.08,31.8,-28.41,0.7009,0.6921,多头排列,0.64,784594611.45,654,1
sz159566,储能电池ETF易方达,2026-09-22,1.746,2.77,-6.28,-23.05,6.0,-29.79,1.7726,1.8527,空头排列,0.65,236279256.85,634,0
sz159559,机器人ETF景顺,2026-09-22,1.186,4.22,-0.92,-17.64,13.9,-25.6,1.18,1.2413,均线纠缠偏空,0.43,54549856.5,675,0
sz159558,半导体设备ETF易方达,2026-09-22,1.123,6.95,1.45,-34.09,50.2,-34.59,1.0869,1.1799,均线纠缠偏空,0.7,1310102252.4,553,1
sz159557,恒生医疗ETF嘉实,2026-09-22,1.5,5.71,0.0,22.65,47.9,-19.7,1.4606,1.4098,多头排列,0.47,60929102.3,571,0
sz159547,红利低波ETF华夏,2026-09-22,1.202,-0.74,-0.91,9.87,59.3,-5.8,1.2193,1.1938,均线纠缠偏多,0.79,127877381.45,633,0
sz159546,集成电路ETF国泰,2026-09-22,0.793,10.14,6.3,-30.56,41.5,-30.56,0.7562,0.8244,均线纠缠偏空,0.72,49982323.95,712,1
sz159545,港股通红利低波ETF易方达,2026-09-22,1.279,-1.39,-3.33,7.03,24.8,-16.62,1.3081,1.3008,均线纠缠偏空,0.5,56343066.45,595,0
sz159530,机器人ETF易方达,2026-09-22,1.309,4.05,-0.98,-18.65,12.9,-26.3,1.3042,1.3775,均线纠缠偏空,0.46,440747926.55,649,0
sz159516,半导体设备ETF国泰,2026-09-22,0.714,6.73,1.28,-22.3,66.4,-23.01,0.6924,0.7347,均线纠缠偏空,0.67,2858378737.0,767,2
sz159507,通信ETF广发,2026-09-22,0.92,7.1,7.85,-17.64,57.6,-21.43,0.8781,0.878,多头排列,0.85,61466169.05,789,1
sz159506,港股通创新药医疗ETF富国,2026-09-22,1.328,7.01,1.37,23.08,46.7,-20.29,1.2856,1.2484,多头排列,0.84,499470097.0,785,0
sz159378,通用航空ETF永赢,2026-09-22,1.028,2.59,3.52,-10.3,10.0,-38.88,1.0241,1.0277,均线纠缠偏多,0.82,30160081.4,413,0
sz159366,港股医疗ETF永赢,2026-09-22,1.515,7.45,0.0,29.38,67.5,-11.97,1.4491,1.3706,多头排列,1.9,282394690.95,354,0
sz159327,半导体设备ETF万家,2026-09-22,1.147,6.9,1.41,-22.5,66.2,-23.47,1.1109,1.1722,均线纠缠偏空,0.63,166628323.85,519,1
sz159326,电网设备ETF华夏,2026-09-22,1.679,3.51,0.48,-19.59,42.8,-25.64,1.6573,1.687,均线纠缠偏空,0.55,427957401.05,494,0
sz159325,半导体ETF南方,2026-09-22,1.083,9.84,6.54,-26.54,51.7,-26.54,1.0204,1.1013,均线纠缠偏空,0.71,121313668.45,457,1
sz159323,港股通汽车ETF华夏,2026-09-22,0.955,-1.34,-10.24,-5.63,0.0,-34.99,1.0043,1.0498,空头排列,0.67,129551173.55,415,0
sz159320,电网设备ETF广发,2026-09-22,0.621,3.5,-0.64,-16.84,49.7,-22.13,0.6125,0.6239,均线纠缠偏空,0.46,39827697.25,424,1
sz159316,港股通创新药ETF易方达,2026-09-22,1.178,5.27,0.86,17.33,33.0,-27.51,1.1534,1.1411,多头排列,0.71,647446507.6,366,0
sz159309,油气ETF汇添富,2026-09-22,1.445,1.62,1.98,14.14,51.7,-21.93,1.4363,1.3667,多头排列,1.99,81713493.95,553,0
sz159307,红利低波100ETF博时,2026-09-22,1.006,-0.59,-2.14,6.01,32.0,-10.74,1.0236,1.0213,均线纠缠偏空,0.69,112417048.2,587,0
sz159303,恒生医疗ETF大成,2026-09-22,1.64,5.81,0.43,22.39,46.9,-19.92,1.5947,1.5418,多头排列,0.51,95042046.95,545,0
sz159297,港股通创新药ETF南方,2026-09-22,0.748,5.2,0.67,17.8,36.4,-24.9,0.7328,0.7241,多头排列,0.78,230777204.75,243,0
sz159286,港股通创新药ETF鹏华,2026-09-22,0.762,4.81,0.26,17.05,35.8,-25.07,0.7493,0.7396,多头排列,0.6,65831911.05,257,0
sz159281,港股央企红利ETF天弘,2026-09-22,0.966,-0.31,0.1,13.11,50.7,-10.14,0.9731,0.9424,均线纠缠偏多,0.95,33667420.15,257,0
sz159278,机器人ETF鹏华,2026-09-22,0.933,4.36,-0.85,-18.52,13.5,-26.01,0.9277,0.9775,均线纠缠偏空,0.33,67848977.4,272,0
sz159272,机器人ETF富国,2026-09-22,0.792,4.21,-0.88,-18.1,12.7,-26.33,0.7881,0.8314,均线纠缠偏空,0.37,83243277.55,244,0
sz159269,港股通科技ETF南方,2026-09-22,0.837,4.1,-1.88,2.83,12.4,-32.83,0.8321,0.8497,均线纠缠偏空,0.56,95338925.7,295,0
sz159267,航天ETF华安,2026-09-22,0.877,2.1,5.54,-7.88,13.0,-39.64,0.8709,0.8642,多头排列,0.62,88953588.25,279,0
sz159263,价值ETF易方达,2026-09-22,1.129,-1.05,-2.08,9.29,53.0,-8.8,1.1522,1.1334,均线纠缠偏空,0.9,322230317.7,297,0
sz159262,港股通科技ETF广发,2026-09-22,0.829,4.02,-1.31,-2.13,6.9,-36.18,0.8233,0.8537,均线纠缠偏空,0.49,236529980.6,298,0
sz159259,成长ETF易方达,2026-09-22,1.393,5.77,7.32,-21.57,53.9,-23.71,1.3427,1.3775,均线纠缠偏多,1.16,611150889.75,260,0
sz159241,航空航天ETF天弘,2026-09-22,1.064,2.11,5.56,-7.07,14.8,-38.07,1.057,1.0448,多头排列,0.83,94894384.05,324,0
sz159227,航空航天ETF华夏,2026-09-22,1.034,2.07,5.62,-7.43,14.1,-38.53,1.0271,1.0173,多头排列,0.44,159789126.0,333,0
sz159218,卫星ETF招商,2026-09-22,1.36,4.13,4.45,-20.37,17.0,-42.71,1.3333,1.3879,均线纠缠偏空,0.48,81678439.4,329,0
sz159217,港股通创新药ETF工银,2026-09-22,1.198,5.09,-0.08,17.8,33.2,-27.44,1.1753,1.1617,多头排列,0.59,467960913.65,360,0
sz159209,红利质量ETF招商,2026-09-22,1.125,0.63,-1.49,5.53,26.7,-15.29,1.1417,1.127,均线纠缠偏空,0.6,86181168.6,367,0
sz159207,高股息ETF广发,2026-09-22,1.134,-0.7,-1.56,6.88,47.1,-6.74,1.1477,1.1439,均线纠缠偏空,0.46,78384711.35,357,0
sz159206,卫星ETF永赢,2026-09-22,1.386,4.6,4.84,-21.03,25.4,-37.03,1.3547,1.4083,均线纠缠偏空,0.31,320887837.05,374,0
sz159202,恒生互联网ETF万家,2026-09-22,0.765,2.55,-3.53,1.86,7.7,-42.26,0.7695,0.8109,空头排列,0.51,77518812.2,352,0
sz159198,港股通信息技术ETF富国,2026-09-22,1.259,6.69,2.69,-12.87,59.2,-13.11,1.238,1.2441,均线纠缠偏多,0.33,75909510.65,118,0
sz159196,港股通信息技术ETF易方达,2026-09-22,1.254,6.81,2.62,-12.98,59.3,-13.1,1.2326,1.2391,均线纠缠偏多,0.46,184630038.0,119,0
sz159185,港股通信息技术ETF鹏华,2026-09-22,1.119,6.67,2.66,-12.85,38.5,-13.05,1.0989,1.1049,均线纠缠偏多,0.48,131948210.35,104,0
sz159167,港股通医疗ETF工银,2026-09-22,0.998,6.97,0.71,28.11,97.9,-0.6,0.9576,0.9051,多头排列,0.63,37859405.8,148,0
sz159157,有色金属ETF天弘,2026-09-22,0.811,0.87,-2.87,-3.91,18.1,-26.94,0.8355,0.8253,均线纠缠偏空,0.65,95254743.4,152,0
sz159147,电池ETF南方,2026-09-22,0.796,1.79,-6.68,-23.9,4.1,-31.73,0.8092,0.857,空头排列,1.17,32439634.6,162,0
sz159137,港股通医疗ETF华宝,2026-09-22,1.01,6.65,-0.1,28.66,73.5,-9.01,0.9716,0.9175,多头排列,0.94,72556860.2,171,0
sz159133,化工ETF天弘,2026-09-22,1.053,0.67,-1.5,-9.38,22.6,-20.23,1.0835,1.083,均线纠缠偏空,0.6,31826004.45,203,0
sz159131,港股通信息技术ETF华宝,2026-09-22,0.983,6.73,2.72,-13.16,60.5,-13.16,0.9654,0.9708,均线纠缠偏多,0.56,1200393202.8,211,0
sz159128,港股科技ETF天弘,2026-09-22,0.702,2.63,-3.17,5.09,16.3,-31.18,0.7045,0.7227,空头排列,0.53,30625487.7,211,0
sz159105,恒生生物科技ETF易方达,2026-09-22,0.981,6.98,1.66,27.4,77.8,-7.01,0.9446,0.9007,多头排列,0.72,92103528.1,219,0
sz159102,港股通生物科技ETF华安,2026-09-22,0.866,6.91,2.0,27.35,64.2,-12.7,0.8322,0.7942,多头排列,0.58,38889014.25,247,0
sz159101,港股通科技ETF华夏,2026-09-22,0.719,3.3,-2.71,5.43,13.5,-36.71,0.7175,0.7367,均线纠缠偏空,0.63,112279156.85,256,0
sz159033,粮食ETF国泰,2026-09-22,1.02,4.4,3.66,16.84,60.0,-9.25,1.0367,0.9569,均线纠缠偏多,1.7,46486863.2,77,0
sz159030,粮食ETF华夏,2026-09-22,0.901,4.89,3.8,17.17,59.9,-9.17,0.9147,0.8441,均线纠缠偏多,2.56,82850562.5,95,0
