代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数
ITB,iShares U.S. Home Construction ,2026-09-21,88.2,-1.23,-8.77,-14.68,10.5,-21.4,91.58,95.66,空头排列,1.07,180476627.20870972,500
IVES,Dan IVES Wedbush AI Revolution ,2026-09-21,41.45,4.65,7.08,15.52,98.1,-0.67,39.4,38.15,多头排列,1.05,12240843.154697418,326
IXC,iShares Global Energy ETF,2026-09-21,57.65,-2.78,-1.4,15.6,86.5,-4.84,58.65,55.42,均线纠缠偏多,0.67,33226870.192642212,500
IXJ,iShares Global Healthcare ETF,2026-09-21,103.18,0.89,-3.43,6.52,81.5,-4.0,103.81,101.93,均线纠缠偏多,1.49,22370523.22227478,500
IXN,iShares Global Tech ETF,2026-09-21,147.9,6.23,6.05,5.3,96.9,-1.11,141.14,138.82,多头排列,1.32,53420261.64718628,500
IYE,iShares U.S. Energy ETF,2026-09-21,65.84,-2.87,-1.69,15.17,86.3,-4.92,67.31,63.36,均线纠缠偏多,1.01,52443143.548698425,500
IYF,iShares U.S. Financial ETF,2026-09-21,132.31,-1.67,-2.53,4.0,75.4,-4.48,135.19,134.37,均线纠缠偏空,1.09,52037186.92436218,500
IYH,iShares U.S. Healthcare ETF,2026-09-21,71.61,1.32,-2.82,9.36,86.2,-3.4,71.69,69.89,均线纠缠偏多,1.1,46109653.9617157,500
IYJ,iShares U.S. Industrials ETF,2026-09-21,156.52,0.02,-4.9,-4.76,58.8,-7.68,159.31,163.12,空头排列,2.17,34389339.50462341,500
IYK,iShares U.S. Consumer Staples E,2026-09-21,71.91,-2.78,-3.96,-0.78,62.3,-6.11,73.96,73.98,空头排列,0.73,11258862.671203613,500
IYM,iShares U.S. Basic Materials ET,2026-09-21,181.49,-0.64,-6.69,0.16,75.5,-7.32,188.75,183.45,均线纠缠偏空,0.87,42560382.000198364,500
IYR,iShares U.S. Real Estate ETF,2026-09-21,98.9,-0.64,-4.87,-3.36,49.8,-7.11,101.06,102.9,空头排列,1.11,543835452.2714233,500
IYT,iShares U.S. Transportation ETF,2026-09-21,79.86,-3.15,-8.03,-7.62,55.4,-11.08,83.24,85.81,空头排列,1.88,65317937.92675018,500
IYW,iShares U.S. Technology ETF,2026-09-21,264.46,5.34,6.98,8.41,100.0,0.0,251.61,247.65,多头排列,1.04,136864401.01287842,500
IYZ,iShares U.S. Telecommunications,2026-09-21,42.45,0.56,-0.95,2.57,79.1,-6.9,42.56,41.98,均线纠缠偏多,0.69,32741384.783096313,500
JETS,U.S. Global Jets ETF,2026-09-21,29.01,2.95,-1.89,-12.04,55.0,-13.48,28.58,30.58,均线纠缠偏空,1.92,112960986.19548798,500
JTEK,JPMorgan U.S. Tech Leaders ETF,2026-09-21,104.74,4.8,4.76,-1.48,80.9,-6.11,100.1,100.56,均线纠缠偏多,0.81,26352342.124900818,500
KBE,State Street SPDR S&P Bank ETF,2026-09-21,66.07,-2.49,-3.34,-2.6,70.2,-7.29,67.57,68.67,空头排列,0.96,85012664.22153473,500
KBWB,Invesco KBW Bank ETF,2026-09-21,92.36,-2.31,-2.92,-1.97,74.9,-6.89,94.92,95.73,空头排列,1.48,150317509.9516678,500
KBWD,Invesco KBW High Dividend Yield,2026-09-21,11.68,-1.04,-5.21,-0.13,18.3,-12.29,12.07,12.07,均线纠缠偏空,1.1,4826082.592563629,500
KBWY,Invesco KBW Premium Yield Equit,2026-09-21,17.17,-1.25,-4.79,-4.24,67.6,-8.73,17.62,18.0,空头排列,1.08,3694945.75671196,500
KIE,State Street SPDR S&P Insurance,2026-09-21,61.39,-2.9,-2.9,4.13,62.8,-7.34,62.94,63.34,空头排列,1.11,72184284.03793335,500
KOID,KraneShares Global Humanoid Rob,2026-09-21,36.21,4.32,-1.84,-10.28,55.0,-16.3,35.82,37.44,均线纠缠偏空,0.74,5194946.213760376,325
KRE,State Street SPDR S&P Regional ,2026-09-21,71.99,-2.31,-3.29,-3.17,73.4,-7.1,73.44,74.84,空头排列,1.22,906972332.6672745,500
KXI,iShares Global Consumer Staples,2026-09-21,66.71,-2.31,-3.46,-2.08,44.6,-8.23,68.07,68.54,空头排列,2.69,8056690.479736328,500
LIT,Global X Lithium & Battery Tech,2026-09-21,70.83,1.23,-7.54,-9.33,47.0,-22.36,73.48,72.77,均线纠缠偏空,0.49,20117784.07093048,500
MAGS,Roundhill Magnificent Seven ETF,2026-09-21,72.97,4.09,8.46,19.49,100.0,0.0,69.33,67.42,多头排列,1.29,243808490.50876617,500
MGNR,American Beacon Select Funds Am,2026-09-21,52.09,-1.77,-6.44,6.8,76.0,-7.45,54.41,51.4,均线纠缠偏多,1.19,23775368.105793,500
MOO,VanEck Agribusiness ETF,2026-09-21,84.03,-2.65,-1.36,5.98,77.3,-5.42,86.21,83.17,均线纠缠偏多,1.19,41110413.72203827,500
MORT,VanEck Mortgage REIT Income ETF,2026-09-21,9.12,-1.83,-7.88,-6.4,5.9,-13.7,9.55,9.76,空头排列,1.39,10517968.368768692,500
MSOS,AdvisorShares Pure US Cannabis ,2026-09-21,4.94,0.41,-0.4,6.93,52.7,-26.16,4.93,4.65,多头排列,0.75,21182726.117572784,500
NLR,VanEck Uranium and Nuclear ETF,2026-09-21,110.73,1.15,-7.68,-5.67,13.0,-32.63,116.57,114.03,均线纠缠偏空,1.0,43430010.67970276,500
NUKZ,Range Nuclear Renaissance Index,2026-09-21,63.31,1.6,-3.73,-7.55,16.5,-16.95,64.55,65.21,空头排列,1.06,8334149.088306427,500
OIH,VanEck Oil Services ETF,2026-09-21,396.63,-1.35,-4.5,4.23,73.4,-12.62,415.53,397.2,均线纠缠偏空,0.96,114249397.34832764,500
PAVE,Global X U.S. Infrastructure De,2026-09-21,53.08,0.11,-5.87,-11.36,53.9,-11.36,54.29,56.3,空头排列,0.63,83896394.42630768,500
PBEU,Portfolio Building Block Europe,2026-09-21,35.63,-0.18,-0.11,9.66,93.8,-1.75,35.65,34.81,均线纠缠偏多,0.21,1093527.9341697693,202
PBPH,Portfolio Building Block World ,2026-09-21,28.58,1.28,-3.35,8.13,78.3,-4.1,28.66,27.96,均线纠缠偏多,0.63,2533368.045692444,202
PICK,iShares MSCI Global Select Meta,2026-09-21,61.72,0.13,-6.06,5.25,74.8,-9.71,64.25,61.15,均线纠缠偏多,0.68,40192262.58144379,500
PPA,Invesco Aerospace & Defense ETF,2026-09-21,161.17,0.63,-6.92,-5.85,39.8,-12.81,164.1,172.22,空头排列,1.11,33581917.05619812,500
PPH,VanEck Pharmaceutical ETF,2026-09-21,111.66,0.47,-4.26,5.14,81.6,-5.27,112.86,111.41,均线纠缠偏多,0.53,24989496.703948975,500
PSI,Invesco Semiconductors ETF,2026-09-21,144.88,12.55,4.3,-18.3,64.0,-22.86,134.65,144.76,均线纠缠偏多,0.59,43141666.19590759,500
PTF,Invesco Dorsey Wright Technolog,2026-09-21,107.37,13.47,4.89,-18.81,56.0,-22.4,99.21,105.55,均线纠缠偏多,0.58,8808561.099281311,500
QCLN,First Trust NASDAQ Clean Edge G,2026-09-21,48.91,2.86,-3.07,-19.53,28.7,-28.57,48.85,51.64,均线纠缠偏空,0.42,6518005.27469635,500
QQQ,纳斯达克100,2026-09-21,741.47,4.66,4.04,3.61,98.3,-0.42,713.93,711.12,多头排列,1.05,22903922010.429382,500
QTEC,First Trust NASDAQ-100-Technolo,2026-09-21,326.11,6.45,3.79,1.01,92.5,-2.86,311.21,311.94,均线纠缠偏多,0.45,35008719.62234497,500
QTUM,Defiance Quantum ETF,2026-09-21,153.04,7.17,1.71,-4.49,77.6,-9.16,147.05,148.95,均线纠缠偏多,0.55,38398851.16592407,500
REM,iShares Mortgage Real Estate ET,2026-09-21,19.76,-2.0,-8.01,-6.35,8.1,-13.09,20.69,21.17,空头排列,2.6,10983414.788370132,500
REMX,VanEck Rare Earth and Strategic,2026-09-21,70.27,1.94,-12.98,-21.23,20.6,-35.84,74.23,75.38,空头排列,0.69,39767469.30603027,500
RING,iShares MSCI Global Gold Miners,2026-09-21,83.06,0.17,-8.57,27.76,62.0,-15.82,86.36,75.05,均线纠缠偏多,1.28,69072518.03302765,500
ROBO,ROBO Global Robotics and Automa,2026-09-21,80.29,3.8,-1.08,-3.78,63.5,-11.12,79.43,80.9,均线纠缠偏空,0.98,13313926.034049988,500
RSPD,Invesco S&P 500 Equal Weight Co,2026-09-21,52.73,-2.5,-7.84,-5.23,16.6,-11.5,54.79,55.86,空头排列,9.24,11560053.722171783,500
RSPH,Invesco S&P 500 Equal Weight He,2026-09-21,36.84,0.85,-2.32,12.48,88.4,-2.99,37.05,35.52,均线纠缠偏多,0.83,6150334.831352234,500
RSPN,Invesco S&P 500 Equal Weight In,2026-09-21,59.04,-0.78,-6.38,-7.12,50.8,-9.03,60.48,62.44,空头排列,1.21,23214124.28287506,500
RSPS,Invesco S&P 500 Equal Weight Co,2026-09-21,29.35,-2.64,-6.7,-2.48,38.4,-9.74,30.5,30.59,空头排列,18.75,12653815.092401505,500
RSPT,Invesco S&P 500 Equal Weight Te,2026-09-21,66.26,3.73,3.55,5.11,95.5,-1.71,64.19,62.94,多头排列,0.76,29336799.16967392,500
RWR,State Street SPDR Dow Jones REI,2026-09-21,107.77,-0.81,-4.95,-4.1,58.4,-8.75,110.24,112.88,空头排列,0.46,16445410.642929077,500
SCHH,Schwab U.S. REIT ETF,2026-09-21,22.93,-0.69,-4.62,-4.02,57.0,-7.76,23.42,23.91,空头排列,1.11,155886899.1471386,500
SETM,Sprott Critical Materials ETF,2026-09-21,31.49,1.61,-10.59,0.61,48.7,-20.74,33.32,31.62,均线纠缠偏空,0.99,4502062.194519043,500
SHLD,Global X Defense Tech ETF,2026-09-21,63.18,1.36,-5.83,8.91,26.2,-18.76,63.74,64.07,空头排列,1.29,58188663.386859894,500
SIL,Global X Silver Miners ETF,2026-09-21,93.76,0.53,-5.82,21.79,57.3,-20.45,97.49,86.19,均线纠缠偏多,0.72,100492565.91373444,500
SILJ,Amplify Junior Silver Miners ET,2026-09-21,29.79,1.46,-6.7,16.59,47.2,-26.08,31.05,28.1,均线纠缠偏多,0.89,115447999.05215263,500
SKYY,First Trust Cloud Computing ETF,2026-09-21,168.21,3.34,4.33,32.95,98.9,-0.41,161.73,150.62,多头排列,0.67,36962540.09712219,500
SLVP,iShares MSCI Global Silver and ,2026-09-21,38.06,1.2,-6.83,24.62,60.0,-19.55,39.6,34.99,均线纠缠偏多,0.98,11567339.507255554,500
SLVR,Sprott Silver Miners & Physical,2026-09-21,60.29,3.41,-5.13,22.59,49.5,-27.68,61.92,55.71,均线纠缠偏多,1.13,8915868.201389313,422
SMH,VanEck Semiconductor ETF,2026-09-21,596.03,10.07,6.35,-6.41,79.1,-10.9,559.6,572.23,均线纠缠偏多,0.67,3639706282.9177856,500
SOXQ,Invesco PHLX Semiconductor ETF,2026-09-21,97.83,11.69,5.95,-10.82,73.9,-14.94,91.25,94.54,均线纠缠偏多,0.59,125742916.11888885,500
