序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,文化传媒,3.15,3814.38,455.41,30.04,79,5,11.94,智度股份,7.45,10.04
2,通信服务,1.98,1228.4,165.0,9.87,35,8,13.43,二六三,5.09,9.94
3,生物制品,1.92,826.58,231.61,2.09,38,17,28.02,义翘神州,136.22,16.09
4,IT服务,1.88,2639.86,479.89,13.78,100,26,18.18,光云科技,16.7,13.91
5,小家电,1.74,185.82,25.96,-0.32,23,3,13.97,奥佳华,6.88,10.08
6,互联网电商,1.66,504.77,76.25,2.87,14,4,15.11,焦点科技,25.87,6.9
7,软件开发,1.66,2370.93,424.98,10.95,104,32,17.93,延华智能,5.59,10.04
8,元件,1.28,2641.02,1477.95,-56.26,35,28,55.96,贤丰控股,7.43,10.07
9,教育,1.23,485.29,33.52,-0.65,10,3,6.91,科德教育,19.62,6.63
10,计算机设备,1.13,1566.46,336.08,-19.76,52,31,21.45,旋极信息,4.14,20.0
11,医疗器械,1.12,1041.6,237.77,10.01,89,48,22.83,五洲医疗,139.74,20.0
12,煤炭开采加工,1.1,1662.57,127.33,4.29,21,9,7.66,大有能源,7.6,9.99
13,影视院线,1.06,1042.73,71.01,1.63,14,6,6.81,百纳千成,5.93,8.02
14,保险,0.99,219.61,68.83,1.94,5,0,31.34,中国人寿,38.69,1.76
15,游戏,0.97,739.91,77.65,0.68,19,4,10.49,大晟文化,4.32,4.6
16,家居用品,0.97,1164.43,125.53,-2.86,64,34,10.78,大亚圣象,6.89,10.06
17,黑色家电,0.85,151.75,17.48,-0.98,5,4,11.52,极米科技,88.75,4.68
18,医疗服务,0.79,1681.0,387.91,-4.04,28,24,23.08,百花医药,14.47,10.04
19,半导体,0.71,3867.41,3178.96,-45.47,99,88,82.2,凯华材料,26.14,29.98
20,白色家电,0.64,523.48,127.98,1.01,22,16,24.45,联合精密,26.57,10.02
