序号,板块,涨跌幅,总成交量,总成交额,净流入,上涨家数,下跌家数,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
21,化学制药,0.53,3827.95,480.26,-25.45,83,72,12.55,华仁药业,3.95,20.06
22,工业金属,0.45,2285.44,283.15,12.21,30,21,12.39,北方铜业,15.11,4.71
23,金属新材料,0.44,364.27,86.61,-2.86,18,15,23.78,大地熊,30.4,11.36
24,汽车整车,0.39,1167.73,113.44,7.24,9,11,9.71,江淮汽车,21.32,10.01
25,环境治理,0.3,1329.28,122.61,-5.59,44,58,9.22,金达莱,18.25,10.14
26,消费电子,0.28,1846.44,537.73,-4.6,55,41,29.12,龙旗科技,39.3,6.13
27,食品加工制造,0.27,807.59,90.13,3.41,37,25,11.16,ST加加,6.84,5.88
28,自动化设备,0.24,715.06,415.91,-26.42,45,50,58.16,宏英智能,37.75,9.99
29,厨卫电器,0.22,72.83,8.71,-0.14,4,5,11.96,*ST帅电,11.75,3.34
30,化学制品,0.21,2209.97,382.04,-19.78,83,96,17.29,华宝股份,29.49,13.42
31,房地产,0.21,6491.04,262.14,0.3,34,47,4.04,我爱我家,3.51,10.03
32,综合,0.21,458.77,34.32,-1.69,8,9,7.48,综艺股份,6.63,9.95
33,橡胶制品,0.19,317.95,48.13,-0.94,8,13,15.14,天铁科技,4.97,5.75
34,证券,0.15,2100.63,207.28,-0.83,23,18,9.87,红塔证券,7.06,3.22
35,燃气,0.11,363.72,30.5,-1.98,10,17,8.39,升达林业,4.97,9.96
36,饮料制造,0.08,751.44,97.87,2.02,28,18,13.03,一鸣食品,30.04,10.0
37,美容护理,0.07,211.27,44.32,-3.15,15,18,20.98,丸美生物,32.04,4.13
38,包装印刷,0.04,614.14,71.13,-5.95,17,28,11.58,喜悦智行,14.8,11.36
39,通用设备,0.0,2912.49,595.29,-26.48,101,150,20.44,*ST禾信,138.06,16.02
40,中药,-0.03,1313.37,123.59,-4.61,22,43,9.41,ST万邦,11.12,9.99
41,其他社会服务,-0.04,369.27,43.13,-0.85,17,23,11.68,米奥会展,14.15,10.98
42,汽车服务及其他,-0.04,235.02,30.6,-0.63,13,12,13.02,永安行,20.64,5.09
43,光学光电子,-0.05,4252.22,524.37,-31.2,42,61,12.33,视涯科技,51.95,20.0
44,汽车零部件,-0.07,2802.28,434.57,-26.16,99,167,15.51,坤泰股份,20.28,9.98
45,银行,-0.08,2896.87,224.3,-4.85,12,25,7.74,厦门银行,7.03,2.18
46,工程机械,-0.1,538.74,57.29,-6.12,10,26,10.63,厦工股份,4.19,9.97
47,能源金属,-0.11,238.21,103.62,-2.09,5,8,43.5,博迁新材,141.33,2.8
48,环保设备,-0.13,270.4,46.94,-1.31,10,19,17.36,清研环境,17.08,5.69
49,军工电子,-0.15,708.69,174.05,-14.13,22,38,24.56,天和防务,11.48,6.49
50,轨交设备,-0.16,318.57,24.35,-3.23,15,15,7.64,科安达,13.5,2.12
51,白酒,-0.16,134.87,71.43,-0.54,9,9,52.97,口子窖,17.97,0.84
52,电池,-0.18,1499.63,534.63,-8.06,40,66,35.65,亿华通,18.91,10.78
53,服装家纺,-0.2,1137.67,92.62,-5.36,29,43,8.14,泰慕士,29.25,10.0
54,物流,-0.2,592.66,50.59,-1.68,19,29,8.54,三羊马,65.96,10.01
55,石油加工贸易,-0.21,839.63,68.21,2.38,8,19,8.12,和顺石油,49.49,6.68
56,贸易,-0.21,187.55,11.64,-0.42,5,9,6.21,远大控股,9.23,1.43
57,公路铁路运输,-0.22,617.61,31.13,-0.98,10,22,5.04,大众交通,4.71,3.06
58,养殖业,-0.26,1050.44,65.53,-3.59,11,23,6.24,京基智农,19.47,7.16
59,电机,-0.28,176.3,32.27,-2.16,9,17,18.3,兆威机电,72.1,3.29
60,光伏设备,-0.28,1425.41,232.25,-9.76,22,50,16.29,TCL中环,9.61,6.54
61,其他电源设备,-0.29,502.47,128.43,-0.57,11,24,25.56,西子洁能,17.65,4.13
62,医药商业,-0.29,888.76,66.48,-1.19,9,22,7.48,开开实业,17.35,6.31
63,专用设备,-0.32,2034.63,415.62,-25.19,79,119,20.43,世纪数码,132.0,742.37
64,造纸,-0.35,491.0,27.26,-3.08,7,16,5.55,恒丰纸业,10.93,7.05
65,种植业与林业,-0.35,1682.09,131.52,-3.6,10,20,7.82,新赛股份,6.03,6.73
66,建筑装饰,-0.36,2697.27,225.72,-20.69,53,84,8.37,华维设计,12.4,12.42
67,化学纤维,-0.36,466.7,49.54,-4.42,8,20,10.62,汇隆新材,25.01,6.47
68,化学原料,-0.42,1257.54,147.32,-8.35,15,42,11.71,金牛化工,18.08,8.65
69,机场航运,-0.45,571.82,23.58,-3.62,3,9,4.12,中国国航,5.93,0.68
70,塑料制品,-0.46,1231.62,249.76,-19.68,24,54,20.28,中塑股份,433.0,683.28
71,农产品加工,-0.53,996.69,102.59,-4.9,9,31,10.29,祖名股份,27.56,6.2
72,小金属,-0.55,691.87,281.49,-15.63,7,22,40.69,宜安科技,13.23,3.77
73,零售,-0.57,2013.71,138.16,-8.78,15,55,6.86,*ST皇庭,2.75,7.0
74,农化制品,-0.58,1372.59,121.99,-9.81,17,41,8.89,赤天化,4.28,5.16
75,纺织制造,-0.6,578.46,37.33,-2.57,12,20,6.45,彩蝶实业,17.36,5.21
76,非金属材料,-0.61,157.22,79.29,-4.06,3,14,50.43,金戈新材,45.59,7.12
77,多元金融,-0.62,760.74,62.79,-5.23,7,19,8.25,仁东控股,11.79,4.06
78,通信设备,-0.64,2564.57,1677.75,-82.75,29,62,65.42,日海智能,9.3,10.06
79,其他电子,-0.65,685.79,198.53,-15.91,7,26,28.95,富信科技,112.39,4.16
80,电子化学品,-0.7,983.49,495.55,-31.55,10,33,50.39,中石科技,111.76,12.02
81,电力,-0.73,3757.28,281.75,-27.06,18,88,7.5,新能股份,5.85,9.96
82,建筑材料,-0.73,1625.77,326.62,-28.84,19,52,20.09,罗普斯金,5.62,4.27
83,电网设备,-0.75,2326.52,361.78,-42.08,34,105,15.55,特锐德,34.39,5.82
84,军工装备,-0.97,1173.6,304.57,-29.96,16,64,25.95,菲利华,97.08,3.02
85,钢铁,-1.09,1523.86,70.28,-11.05,4,39,4.61,金洲管道,13.84,5.33
86,油气开采及服务,-1.11,550.0,41.98,-3.92,2,17,7.63,新潮能源,4.05,0.5
87,贵金属,-1.2,644.73,168.47,-3.08,1,13,26.13,紫金矿业,31.41,0.35
88,风电设备,-1.32,750.35,108.73,-15.6,5,27,14.49,宏德股份,23.04,3.78
89,旅游及酒店,-1.81,721.47,61.07,-7.02,1,33,8.46,桂林旅游,8.4,0.12
90,港口航运,-1.89,1477.54,134.81,-11.34,2,33,9.12,盛航股份,14.6,0.28
