代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,主题,RS5,RS20,RS60,基准
XME,State Street SPDR S&P Metals & ,2026-09-21,109.0,-1.0,-8.6,0.31,48.0,-17.83,115.73,109.93,均线纠缠偏空,0.75,185033943.34884644,500,金属矿业,30.3,7.6,51.5,False
XLB,State Street Materials Select S,2026-09-21,49.71,-1.09,-6.73,-3.67,68.9,-6.95,51.63,51.4,均线纠缠偏空,0.86,567559321.4109421,500,材料,28.8,19.7,39.4,False
ITB,iShares U.S. Home Construction ,2026-09-21,88.2,-1.23,-8.77,-14.68,10.5,-21.4,91.58,95.66,空头排列,1.07,180476627.20870972,500,住宅建造,27.3,6.1,9.1,False
GPZ,VanEck Alternative Asset Manage,2026-09-21,22.69,-1.3,-9.28,6.73,27.5,-22.6,23.9,23.57,均线纠缠偏空,1.02,4104780.171890259,325,另类资管,25.8,3.0,74.2,False
OIH,VanEck Oil Services ETF,2026-09-21,396.63,-1.35,-4.5,4.23,73.4,-12.62,415.53,397.2,均线纠缠偏空,0.96,114249397.34832764,500,油服,24.2,37.9,62.1,False
GNR,State Street SPDR S&P Global Na,2026-09-21,76.41,-1.52,-3.6,12.82,85.6,-4.3,78.36,73.83,均线纠缠偏多,4.0,40920196.31656647,500,自然资源,22.7,43.9,81.8,False
XLF,State Street Financial Select S,2026-09-21,55.9,-1.63,-2.4,4.95,77.4,-4.2,57.1,56.62,均线纠缠偏空,1.13,1759730547.877045,500,金融,21.2,53.0,66.7,False
REM,iShares Mortgage Real Estate ET,2026-09-21,19.76,-2.0,-8.01,-6.35,8.1,-13.09,20.69,21.17,空头排列,2.6,10983414.788370132,500,抵押REIT,19.7,12.1,30.3,False
XLU,State Street Utilities Select S,2026-09-21,40.66,-2.06,-4.23,-10.67,0.0,-13.03,42.14,43.7,空头排列,1.04,891950870.9870529,500,公用事业,18.2,40.9,18.2,False
KRE,State Street SPDR S&P Regional ,2026-09-21,71.99,-2.31,-3.29,-3.17,73.4,-7.1,73.44,74.84,空头排列,1.22,906972332.6672744,500,区域银行,15.9,45.5,42.4,False
KBWB,Invesco KBW Bank ETF,2026-09-21,92.36,-2.31,-2.92,-1.97,74.9,-6.89,94.92,95.73,空头排列,1.48,150317509.9516678,500,银行,15.9,48.5,47.0,False
XLP,State Street Consumer Staples S,2026-09-21,81.92,-2.32,-4.11,-1.76,56.6,-7.23,83.95,84.2,空头排列,0.95,804862729.933281,500,必需消费,13.6,42.4,48.5,False
XLE,State Street Energy Select Sect,2026-09-21,62.46,-2.63,-1.27,16.16,87.2,-4.7,63.69,59.75,均线纠缠偏多,1.38,1964425199.5425987,500,能源,12.1,62.1,84.8,False
MOO,VanEck Agribusiness ETF,2026-09-21,84.03,-2.65,-1.36,5.98,77.3,-5.42,86.21,83.17,均线纠缠偏多,1.19,41110413.72203827,500,农业,10.6,60.6,72.7,False
IHF,iShares U.S. Health Care Provid,2026-09-21,55.86,-2.83,-1.71,2.83,87.6,-3.65,56.9,56.69,均线纠缠偏空,1.33,34834235.57209015,500,医疗服务,9.1,57.6,54.5,False
KIE,State Street SPDR S&P Insurance,2026-09-21,61.39,-2.9,-2.9,4.13,62.8,-7.34,62.94,63.34,空头排列,1.11,72184284.03793335,500,保险,7.6,50.0,60.6,False
IYT,iShares U.S. Transportation ETF,2026-09-21,79.86,-3.15,-8.03,-7.62,55.4,-11.08,83.24,85.81,空头排列,1.88,65317937.92675018,500,运输,6.1,10.6,25.8,False
XRT,State Street SPDR S&P Retail ET,2026-09-21,82.56,-3.26,-5.67,-5.51,38.3,-10.41,85.25,87.52,空头排列,0.72,292935192.7226639,500,零售,4.5,27.3,33.3,False
XOP,State Street SPDR S&P Oil & Gas,2026-09-21,184.75,-4.13,-2.14,19.87,81.9,-7.12,190.07,176.17,均线纠缠偏多,1.48,569488090.5231476,500,油气勘探,3.0,54.5,89.4,False
FCG,First Trust Natural Gas ETF,2026-09-21,29.82,-5.93,-5.33,11.43,75.1,-8.4,31.27,29.39,均线纠缠偏多,1.75,27779652.947416306,500,天然气,1.5,30.3,80.3,False
