代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
FDTX,Fidelity Disruptive Technology ,Technology,287904800.0,45046.0,illiquid,3 月日均量 4.5 万股 ≤ 10 万股,
FENY,Fidelity MSCI Energy Index ETF,Equity Energy,2140013950.0,1220969.0,dedup,同主题「能源」，代表为 XLE State Street Energy Select Sect,能源
FHLC,Fidelity MSCI Health Care Index,Health,3476249340.0,243839.0,dedup,同主题「医疗保健」，代表为 XLV State Street Health Care Select,医疗保健
FIDU,Fidelity MSCI Industrials Index,Industrials,2283852030.0,130141.0,dedup,同主题「工业」，代表为 XLI State Street Industrial Select ,工业
FINX,Global X FinTech ETF,Technology,174752448.0,68136.0,illiquid,规模 1.75 亿美元 ≤ 2 亿,
FIW,First Trust Water ETF,Natural Resources,1878429820.0,49507.0,illiquid,3 月日均量 5.0 万股 ≤ 10 万股,
FMAT,Fidelity MSCI Materials Index E,Natural Resources,619519040.0,54434.0,illiquid,3 月日均量 5.4 万股 ≤ 10 万股,
FNCL,Fidelity MSCI Financials Index ,Financial,2396029700.0,108446.0,dedup,同主题「金融」，代表为 XLF State Street Financial Select S,金融
FNGS,MicroSectors FANG  ETNs due Jan,Technology,604311680.0,23930.0,illiquid,3 月日均量 2.4 万股 ≤ 10 万股,
FOTO,Tuttle Capital Pure Play Photon,Technology,130365480.0,369055.0,illiquid,规模 1.30 亿美元 ≤ 2 亿,
FREL,Fidelity MSCI Real Estate Index,Real Estate,1476172290.0,277260.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
FRI,First Trust S&P REIT Index Fund,Real Estate,196046992.0,39688.0,illiquid,规模 1.96 亿美元 ≤ 2 亿,
FRNW,Fidelity Clean Energy ETF,Miscellaneous Sector,96929144.0,70419.0,illiquid,规模 0.97 亿美元 ≤ 2 亿,
FRWD,Nomura Transformational Technol,Technology,276454976.0,49539.0,illiquid,3 月日均量 5.0 万股 ≤ 10 万股,
FSTA,Fidelity MSCI COnsumer Staples ,Consumer Defensive,1414283140.0,126465.0,dedup,同主题「必需消费」，代表为 XLP State Street Consumer Staples S,必需消费
FTEC,Fidelity MSCI Information Techn,Technology,21250689000.0,265704.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
FTRI,First Trust Indxx Global Natura,Natural Resources,130803040.0,36779.0,illiquid,规模 1.31 亿美元 ≤ 2 亿,
FTXH,First Trust Nasdaq Pharmaceutic,Health,1054381310.0,606058.0,dedup,同主题「制药」，代表为 PPH VanEck Pharmaceutical ETF,制药
FTXL,First Trust Nasdaq Semiconducto,Technology,1220477060.0,258369.0,dedup,同主题「半导体」，代表为 SOXX iShares PHLX SOX Semiconductor ,半导体
FTXN,First Trust Nasdaq Oil & Gas ET,Equity Energy,167902432.0,701312.0,illiquid,规模 1.68 亿美元 ≤ 2 亿,
FTXO,First Trust Nasdaq Bank ETF,Financial,294426880.0,82430.0,illiquid,3 月日均量 8.2 万股 ≤ 10 万股,
FTXR,First Trust Nasdaq Transportati,Industrials,1027303230.0,137926.0,dedup,同主题「运输」，代表为 IYT iShares U.S. Transportation ETF,运输
FUTY,Fidelity MSCI Utilities Index E,Utilities,2250777860.0,399355.0,dedup,同主题「公用事业」，代表为 XLU State Street Utilities Select S,公用事业
FXH,First Trust Health Care AlphaDE,Health,1149107710.0,59052.0,illiquid,3 月日均量 5.9 万股 ≤ 10 万股,
FXL,First Trust Technology AlphaDEX,Technology,2774372100.0,159592.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
FXN,First Trust Energy AlphaDEX Fun,Equity Energy,401326400.0,1556728.0,dedup,同主题「能源」，代表为 XLE State Street Energy Select Sect,能源
FXO,First Trust Financials AlphaDEX,Financial,1122567040.0,46707.0,illiquid,3 月日均量 4.7 万股 ≤ 10 万股,
FXR,First Trust Industrials AlphaDE,Industrials,727687100.0,31509.0,illiquid,3 月日均量 3.2 万股 ≤ 10 万股,
FXU,First Trust Utilities AlphaDEX ,Utilities,781084420.0,242704.0,dedup,同主题「公用事业」，代表为 XLU State Street Utilities Select S,公用事业
FXZ,First Trust Materials AlphaDEX ,Natural Resources,397256096.0,38642.0,illiquid,3 月日均量 3.9 万股 ≤ 10 万股,
GBUG,Sprott Active Gold & Silver Min,Equity Precious Metals,196535680.0,33174.0,illiquid,规模 1.97 亿美元 ≤ 2 亿,
GDX,VanEck Gold Miners ETF,Equity Precious Metals,30543091700.0,22062071.0,,,金矿
GDXJ,VanEck Junior Gold Miners ETF,Equity Precious Metals,9630824400.0,4761390.0,dedup,同主题「金矿」，代表为 GDX VanEck Gold Miners ETF,金矿
GII,State Street SPDR S&P Global In,Infrastructure,941213120.0,44522.0,illiquid,3 月日均量 4.5 万股 ≤ 10 万股,
GNOM,Global X Genomics & Biotechnolo,Health,91900472.0,33979.0,illiquid,规模 0.92 亿美元 ≤ 2 亿,
GNR,State Street SPDR S&P Global Na,Natural Resources,5137096200.0,327755.0,,,自然资源
GOAU,US Global GO Gold and Precious ,Equity Precious Metals,216814896.0,27622.0,illiquid,3 月日均量 2.8 万股 ≤ 10 万股,
GPZ,VanEck Alternative Asset Manage,Financial,259329104.0,185422.0,,,另类资管
GRID,First Trust NASDAQ Clean Edge S,Infrastructure,11838994400.0,592628.0,,,智能电网
GUNR,Northern Trust Morningstar Glob,Natural Resources,7299177000.0,534500.0,dedup,同主题「自然资源」，代表为 GNR State Street SPDR S&P Global Na,自然资源
GXPC,Global X PureCap MSCI Communica,Communications,113400240.0,160712.0,illiquid,规模 1.13 亿美元 ≤ 2 亿,
GXPD,Global X PureCap MSCI Consumer ,Consumer Cyclical,55223928.0,47803.0,illiquid,规模 0.55 亿美元 ≤ 2 亿,
GXPS,Global X PureCap MSCI Consumer ,Consumer Defensive,71112904.0,23196.0,illiquid,规模 0.71 亿美元 ≤ 2 亿,
GXPT,Global X PureCap MSCI Informati,Technology,138568816.0,153966.0,illiquid,规模 1.39 亿美元 ≤ 2 亿,
HACK,Amplify Cybersecurity ETF,Technology,3038403840.0,272260.0,dedup,同主题「网络安全」，代表为 CIBR First Trust NASDAQ Cybersecurit,网络安全
HAP,VanEck Natural Resources ETF,Natural Resources,322047776.0,35079.0,illiquid,3 月日均量 3.5 万股 ≤ 10 万股,
HTEC,Robo Global Healthcare Technolo,Health,76471336.0,27915.0,illiquid,规模 0.76 亿美元 ≤ 2 亿,
HUMN,Roundhill Humanoid Robotics ETF,Technology,94354648.0,112442.0,illiquid,规模 0.94 亿美元 ≤ 2 亿,
HYDR,Global X Hydrogen ETF,Miscellaneous Sector,103197304.0,50790.0,illiquid,规模 1.03 亿美元 ≤ 2 亿,
IAI,iShares U.S. Broker-Dealers & S,Financial,1409411330.0,76234.0,illiquid,3 月日均量 7.6 万股 ≤ 10 万股,
IAK,iShares U.S. Insurance ETF,Financial,510626048.0,136438.0,dedup,同主题「保险」，代表为 KIE State Street SPDR S&P Insurance,保险
IAT,iShares U.S. Regional Banks ETF,Financial,641526020.0,158341.0,dedup,同主题「区域银行」，代表为 KRE State Street SPDR S&P Regional ,区域银行
IBAT,iShares Energy Storage & Materi,Miscellaneous Sector,68132208.0,27923.0,illiquid,规模 0.68 亿美元 ≤ 2 亿,
IBB,iShares Biotechnology ETF,Health,10474939400.0,1614742.0,dedup,同主题「生物科技」，代表为 XBI State Street SPDR S&P Biotech E,生物科技
IBBQ,Invesco Nasdaq Biotechnology ET,Health,96311824.0,30577.0,illiquid,规模 0.96 亿美元 ≤ 2 亿,
ICF,iShares Select U.S. REIT ETF,Real Estate,2046449020.0,179388.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
ICLN,iShares Global Clean Energy ETF,Miscellaneous Sector,2181427460.0,6336019.0,,,清洁能源
ICOP,iShares Copper and Metals Minin,Natural Resources,506422016.0,114498.0,dedup,同主题「铜矿」，代表为 COPX Global X Copper Miners ETF,铜矿
IDEF,iShares Defense Industrials and,Industrials,4416389100.0,518847.0,dedup,同主题「国防航天」，代表为 ITA iShares U.S. Aerospace & Defens,国防航天
IDGT,iShares U.S. Digital Infrastruc,Technology,516230560.0,37295.0,illiquid,3 月日均量 3.7 万股 ≤ 10 万股,
IDNA,iShares Genomics Immunology and,Health,256700672.0,86869.0,illiquid,3 月日均量 8.7 万股 ≤ 10 万股,
IDRV,iShares Self-Driving EV and Tec,Industrials,151765264.0,126841.0,illiquid,规模 1.52 亿美元 ≤ 2 亿,
IDU,iShares U.S. Utilities ETF,Utilities,1296625540.0,140506.0,dedup,同主题「公用事业」，代表为 XLU State Street Utilities Select S,公用事业
IEO,iShares U.S. Oil & Gas Explorat,Equity Energy,622159810.0,98233.0,illiquid,3 月日均量 9.8 万股 ≤ 10 万股,
IETC,iShares U.S. Tech Independence ,Technology,698839170.0,33465.0,illiquid,3 月日均量 3.3 万股 ≤ 10 万股,
IEZ,iShares U.S. Oil Equipment & Se,Equity Energy,394298240.0,319126.0,dedup,同主题「油服」，代表为 OIH VanEck Oil Services ETF,油服
IFRA,iShares U.S. Infrastructure ETF,Infrastructure,4193918460.0,427587.0,dedup,同主题「美国基建」，代表为 PAVE Global X U.S. Infrastructure De,美国基建
IGE,iShares North American Natural ,Natural Resources,763613380.0,174561.0,dedup,同主题「自然资源」，代表为 GNR State Street SPDR S&P Global Na,自然资源
IGF,iShares Global Infrastructure E,Infrastructure,10484185100.0,817503.0,,,全球基建
IGM,iShares Expanded Tech Sector ET,Technology,10659639300.0,344560.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
IGPT,Invesco AI and Next Gen Softwar,Technology,1217449090.0,179841.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
IGV,iShares Expanded Tech-Software ,Technology,15741521900.0,12904625.0,,,软件
IHAK,iShares Cybersecurity and Tech ,Technology,1103216510.0,166465.0,dedup,同主题「网络安全」，代表为 CIBR First Trust NASDAQ Cybersecurit,网络安全
IHE,iShares U.S. Pharmaceutical ETF,Health,1662381950.0,268907.0,dedup,同主题「制药」，代表为 PPH VanEck Pharmaceutical ETF,制药
IHF,iShares U.S. Health Care Provid,Health,1227321600.0,517182.0,,,医疗服务
IHI,iShares U.S. Medical Devices ET,Health,3473586690.0,2824676.0,,,医疗器械
IPAY,Amplify Digital Payments ETF,Miscellaneous Sector,179721376.0,63528.0,illiquid,规模 1.80 亿美元 ≤ 2 亿,
ITA,iShares U.S. Aerospace & Defens,Industrials,13628640300.0,680398.0,,,国防航天
ITB,iShares U.S. Home Construction ,Consumer Cyclical,2360223740.0,1952961.0,,,住宅建造
IVES,Dan IVES Wedbush AI Revolution ,Technology,1073759620.0,391960.0,dedup,同主题「人工智能」，代表为 BAI iShares A.I. Innovation and Tec,人工智能
IXC,iShares Global Energy ETF,Equity Energy,2844199680.0,802422.0,dedup,同主题「能源」，代表为 XLE State Street Energy Select Sect,能源
IXG,iShares Global Financial ETF,Financial,697207620.0,62866.0,illiquid,3 月日均量 6.3 万股 ≤ 10 万股,
IXJ,iShares Global Healthcare ETF,Health,4282349570.0,238109.0,dedup,同主题「医疗保健」，代表为 XLV State Street Health Care Select,医疗保健
IXN,iShares Global Tech ETF,Technology,9665907700.0,404707.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
IXP,iShares Global Comm Services ET,Communications,466986912.0,52458.0,illiquid,3 月日均量 5.2 万股 ≤ 10 万股,
IYC,iShares U.S. Consumer Discretio,Consumer Cyclical,1194078460.0,94380.0,illiquid,3 月日均量 9.4 万股 ≤ 10 万股,
IYE,iShares U.S. Energy ETF,Equity Energy,1854785020.0,795900.0,dedup,同主题「能源」，代表为 XLE State Street Energy Select Sect,能源
IYF,iShares U.S. Financial ETF,Financial,4285226750.0,380592.0,dedup,同主题「金融」，代表为 XLF State Street Financial Select S,金融
IYG,iShares U.S. Financial Services,Financial,2218036990.0,92409.0,illiquid,3 月日均量 9.2 万股 ≤ 10 万股,
IYH,iShares U.S. Healthcare ETF,Health,3863850500.0,698077.0,dedup,同主题「医疗保健」，代表为 XLV State Street Health Care Select,医疗保健
IYJ,iShares U.S. Industrials ETF,Industrials,1926198140.0,125011.0,dedup,同主题「工业」，代表为 XLI State Street Industrial Select ,工业
IYK,iShares U.S. Consumer Staples E,Consumer Defensive,1406885500.0,183404.0,dedup,同主题「必需消费」，代表为 XLP State Street Consumer Staples S,必需消费
IYM,iShares U.S. Basic Materials ET,Natural Resources,1104552700.0,208515.0,dedup,同主题「材料」，代表为 XLB State Street Materials Select S,材料
IYR,iShares U.S. Real Estate ETF,Real Estate,4394973200.0,5272742.0,,,房地产REIT
IYT,iShares U.S. Transportation ETF,Industrials,2204334590.0,682571.0,,,运输
IYW,iShares U.S. Technology ETF,Technology,25215428600.0,546869.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
IYZ,iShares U.S. Telecommunications,Communications,1231090690.0,1062482.0,,,电信
JEDI,Defiance Drone and Modern Warfa,Technology,195602416.0,215592.0,illiquid,规模 1.96 亿美元 ≤ 2 亿,
JETS,U.S. Global Jets ETF,Industrials,765059520.0,3023334.0,,,航空运输
JTEK,JPMorgan U.S. Tech Leaders ETF,Technology,4543209500.0,276385.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
JXI,iShares Global Utilities ETF,Utilities,299284832.0,45615.0,illiquid,3 月日均量 4.6 万股 ≤ 10 万股,
KARS,KraneShares Electric Vehicles a,Industrials,80595432.0,21888.0,illiquid,规模 0.81 亿美元 ≤ 2 亿,
KBE,State Street SPDR S&P Bank ETF,Financial,1621131650.0,1462357.0,dedup,同主题「银行」，代表为 KBWB Invesco KBW Bank ETF,银行
KBWB,Invesco KBW Bank ETF,Financial,6766699500.0,1671242.0,,,银行
KBWD,Invesco KBW High Dividend Yield,Financial,413288640.0,409341.0,not_carrier,按高股息率筛选金融股，成分跨子行业，驱动力是利率,
KBWY,Invesco KBW Premium Yield Equit,Real Estate,315177632.0,181752.0,not_carrier,按股息率筛选 REIT，聚合逻辑是收益率不是地产业态,
KCE,State Street SPDR S&P Capital M,Financial,482743040.0,24434.0,illiquid,3 月日均量 2.4 万股 ≤ 10 万股,
KDEF,PLUS Korea Defense Industry Ind,Industrials,112938248.0,56869.0,illiquid,规模 1.13 亿美元 ≤ 2 亿,
KIE,State Street SPDR S&P Insurance,Financial,600121730.0,1204395.0,,,保险
KOID,KraneShares Global Humanoid Rob,Technology,333726816.0,174949.0,dedup,同主题「机器人」，代表为 BOTZ Global X Robotics & Artificial ,机器人
KOMP,State Street SPDR S&P Kensho Ne,Miscellaneous Sector,2665272060.0,72966.0,illiquid,3 月日均量 7.3 万股 ≤ 10 万股,
KRE,State Street SPDR S&P Regional ,Financial,4010872830.0,12653463.0,,,区域银行
KWH,GMO Power Infrastructure ETF,Infrastructure,57536064.0,51172.0,illiquid,规模 0.58 亿美元 ≤ 2 亿,
KXI,iShares Global Consumer Staples,Consumer Defensive,1087263870.0,103401.0,dedup,同主题「必需消费」，代表为 XLP State Street Consumer Staples S,必需消费
LAZR,Tema Photonics & Optical ETF,Technology,0.0,156805.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
LIT,Global X Lithium & Battery Tech,Natural Resources,1643735300.0,234850.0,,,锂电池
LNGX,Global X U.S. Natural Gas ETF,Equity Energy,0.0,13274.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
LPRE,Long Pond Real Estate Select ET,Real Estate,178742416.0,25917.0,illiquid,规模 1.79 亿美元 ≤ 2 亿,
LYTE,Roundhill Photonics & Optics ET,Technology,317558816.0,2303815.0,fetch_failed,样本仅 32 天,
MAGS,Roundhill Magnificent Seven ETF,Technology,4275175940.0,4255863.0,not_carrier,固定持有七只超大市值股，跨行业按市值聚合，不代表任何产业方向,
METV,Roundhill Ball Metaverse ETF,Technology,223885376.0,50696.0,illiquid,3 月日均量 5.1 万股 ≤ 10 万股,
MGNR,American Beacon Select Funds Am,Natural Resources,1296076540.0,196061.0,dedup,同主题「自然资源」，代表为 GNR State Street SPDR S&P Global Na,自然资源
MISL,First Trust Indxx Aerospace & D,Industrials,728223360.0,89177.0,illiquid,3 月日均量 8.9 万股 ≤ 10 万股,
MJ,ETFMG Alternative Harvest ETF,Miscellaneous Sector,117986064.0,36082.0,illiquid,规模 1.18 亿美元 ≤ 2 亿,
MOO,VanEck Agribusiness ETF,Natural Resources,1055637500.0,292623.0,,,农业
MORT,VanEck Mortgage REIT Income ETF,Real Estate,362236160.0,1150576.0,dedup,同主题「抵押REIT」，代表为 REM iShares Mortgage Real Estate ET,抵押REIT
MSOS,AdvisorShares Pure US Cannabis ,Miscellaneous Sector,973578560.0,4653566.0,,,大麻
MXI,iShares Global Materials ETF,Natural Resources,392117088.0,32884.0,illiquid,3 月日均量 3.3 万股 ≤ 10 万股,
NANR,State Street SPDR S&P North Ame,Natural Resources,847078460.0,30907.0,illiquid,3 月日均量 3.1 万股 ≤ 10 万股,
NATO,THEMES TRANSATLANTIC DEFENSE ET,Industrials,99856040.0,22466.0,illiquid,规模 1.00 亿美元 ≤ 2 亿,
NBDS,Neuberger Disrupters ETF,Technology,184088816.0,25817.0,illiquid,规模 1.84 亿美元 ≤ 2 亿,
NCLD,Roundhill Neocloud ETF,Technology,0.0,910668.0,illiquid,规模 0.00 亿美元 ≤ 2 亿,
NFRA,Northern Trust STOXX Global Bro,Infrastructure,3077518340.0,77006.0,illiquid,3 月日均量 7.7 万股 ≤ 10 万股,
NIKL,Sprott Nickel Miners ETF,Natural Resources,59846756.0,61547.0,illiquid,规模 0.60 亿美元 ≤ 2 亿,
NLR,VanEck Uranium and Nuclear ETF,Natural Resources,4171431680.0,389711.0,dedup,同主题「铀与核能」，代表为 URA Global X Uranium ETF,铀与核能
