代码,名称,类别,AUM,日均量,剔除原因,剔除说明,主题
RSPG,Invesco S&P 500 Equal Weight En,Equity Energy,624382980.0,86031.0,illiquid,3 月日均量 8.6 万股 ≤ 10 万股,
RSPH,Invesco S&P 500 Equal Weight He,Health,832759870.0,135479.0,dedup,同主题「医疗保健」，代表为 XLV State Street Health Care Select,医疗保健
RSPM,Invesco S&P 500 Equal Weight Ma,Natural Resources,191341264.0,29607.0,illiquid,规模 1.91 亿美元 ≤ 2 亿,
RSPN,Invesco S&P 500 Equal Weight In,Industrials,1042707580.0,178539.0,dedup,同主题「工业」，代表为 XLI State Street Industrial Select ,工业
RSPS,Invesco S&P 500 Equal Weight Co,Consumer Defensive,249581216.0,190139.0,dedup,同主题「必需消费」，代表为 XLP State Street Consumer Staples S,必需消费
RSPT,Invesco S&P 500 Equal Weight Te,Technology,5898836000.0,640812.0,dedup,同主题「科技综合」，代表为 XLK State Street Technology Select ,科技综合
RSPU,Invesco S&P 500 Equal Weight Ut,Utilities,524186368.0,42734.0,illiquid,3 月日均量 4.3 万股 ≤ 10 万股,
RWR,State Street SPDR Dow Jones REI,Real Estate,1848601860.0,282079.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
RXI,iShares Global Consumer Discret,Consumer Cyclical,258157024.0,20146.0,illiquid,3 月日均量 2.0 万股 ≤ 10 万股,
SBIO,ALPS Medical Breakthroughs ETF,Health,239980512.0,44442.0,illiquid,3 月日均量 4.4 万股 ≤ 10 万股,
SCHH,Schwab U.S. REIT ETF,Real Estate,11197114400.0,6499604.0,dedup,同主题「房地产REIT」，代表为 IYR iShares U.S. Real Estate ETF,房地产REIT
SETM,Sprott Critical Materials ETF,Natural Resources,629382270.0,153544.0,dedup,同主题「稀土与关键材料」，代表为 REMX VanEck Rare Earth and Strategic,稀土与关键材料
SGDJ,Sprott Junior Gold Miners ETF,Equity Precious Metals,370845120.0,47606.0,illiquid,3 月日均量 4.8 万股 ≤ 10 万股,
SGDM,Sprott Gold Miners ETF,Equity Precious Metals,726838460.0,41058.0,illiquid,3 月日均量 4.1 万股 ≤ 10 万股,
SHLD,Global X Defense Tech ETF,Industrials,7239792100.0,1065166.0,dedup,同主题「国防航天」，代表为 ITA iShares U.S. Aerospace & Defens,国防航天
SIL,Global X Silver Miners ETF,Equity Precious Metals,5261147600.0,1141431.0,dedup,同主题「银矿」，代表为 SILJ Amplify Junior Silver Miners ET,银矿
SILJ,Amplify Junior Silver Miners ET,Equity Precious Metals,4132843260.0,3813157.0,,,银矿
SKYY,First Trust Cloud Computing ETF,Technology,3388826880.0,276350.0,,,云计算
SLVP,iShares MSCI Global Silver and ,Equity Precious Metals,1015361860.0,279847.0,dedup,同主题「银矿」，代表为 SILJ Amplify Junior Silver Miners ET,银矿
SLVR,Sprott Silver Miners & Physical,Equity Precious Metals,800680000.0,132860.0,dedup,同主题「银矿」，代表为 SILJ Amplify Junior Silver Miners ET,银矿
SLX,VanEck Steel ETF,Natural Resources,173218192.0,25050.0,illiquid,规模 1.73 亿美元 ≤ 2 亿,
SMH,VanEck Semiconductor ETF,Technology,67787031000.0,9795171.0,dedup,同主题「半导体」，代表为 SOXX iShares PHLX SOX Semiconductor ,半导体
SMHX,VanEck Fabless Semiconductor ET,Technology,250329968.0,76517.0,illiquid,3 月日均量 7.7 万股 ≤ 10 万股,
SOXQ,Invesco PHLX Semiconductor ETF,Technology,2961325570.0,2031725.0,dedup,同主题「半导体」，代表为 SOXX iShares PHLX SOX Semiconductor ,半导体
SOXX,iShares PHLX SOX Semiconductor ,Technology,41810907000.0,9001877.0,,,半导体
SPRE,SP Funds S&P Global REIT Sharia,Real Estate,212041888.0,65804.0,illiquid,3 月日均量 6.6 万股 ≤ 10 万股,
