代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,主题,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sz159378,通用航空ETF永赢,2026-09-22,1.028,2.59,3.52,-10.3,10.0,-38.88,1.0241,1.0277,均线纠缠偏多,0.82,30160081.4,413,0,通用航空,50.7,78.3,33.3,,,,
sh512660,军工ETF国泰,2026-09-22,1.168,2.55,6.67,-8.75,18.0,-30.56,1.1491,1.148,多头排列,0.72,309539216.75,2460,0,军工,49.3,92.8,36.2,军工装备,-19.14,20.0,-0.97
sh562800,稀有金属ETF嘉实,2026-09-22,0.891,2.18,-4.5,-21.98,32.2,-28.2,0.9094,0.9384,空头排列,0.47,162626132.75,1210,0,稀土,47.8,13.0,15.9,小金属,0.04,24.1,-0.55
sh560080,中药ETF汇添富,2026-09-22,0.945,2.16,-1.46,7.63,30.7,-16.89,0.9483,0.9686,空头排列,0.43,37553422.2,958,0,中药,46.4,27.5,76.8,中药,-7.36,33.8,-0.03
sh512880,证券ETF国泰,2026-09-22,1.069,2.1,0.19,-5.06,23.4,-17.26,1.0808,1.0974,空头排列,0.58,1772775488.9,2460,0,券商,44.9,46.4,44.9,证券,-15.04,56.1,0.15
sh515030,新能源车ETF华夏,2026-09-22,1.514,2.09,-6.02,-18.16,4.3,-31.24,1.5459,1.6199,空头排列,0.99,116340444.75,1593,0,新能源车,43.5,8.7,27.5,电池,-17.8,37.7,-0.18
sz159227,航空航天ETF华夏,2026-09-22,1.034,2.07,5.62,-7.43,14.1,-38.53,1.0271,1.0173,多头排列,0.44,159789126.0,333,0,航天航空,42.0,89.9,37.7,军工装备,-19.14,20.0,-0.97
sz159869,游戏ETF华夏,2026-09-22,1.096,2.05,1.58,-0.18,14.4,-35.53,1.0965,1.0959,均线纠缠偏多,0.48,418307221.1,1349,0,游戏,40.6,63.0,58.0,游戏,-3.43,82.6,0.97
sz159755,电池ETF广发,2026-09-22,0.883,1.96,-6.06,-19.73,4.4,-30.47,0.8975,0.9469,空头排列,0.6,245605138.0,1275,0,锂电池,39.1,7.2,21.7,电池,-17.8,37.7,-0.18
sz159792,港股通互联网ETF富国,2026-09-22,0.552,1.85,-3.83,5.14,7.3,-48.41,0.556,0.582,空头排列,0.62,1386285259.25,1209,0,互联网·港股,37.7,15.9,69.6,,,,
sz159766,旅游ETF富国,2026-09-22,0.553,1.84,-1.6,1.84,6.9,-33.93,0.5633,0.5595,均线纠缠偏空,0.9,174201955.2,1254,0,旅游,36.2,26.1,63.8,旅游及酒店,-4.75,2.9,-1.81
sh515220,煤炭ETF国泰,2026-09-22,1.292,1.73,-0.84,21.09,65.7,-9.65,1.302,1.2338,均线纠缠偏多,0.71,875391854.95,1595,1,煤炭,34.8,32.6,97.1,煤炭开采加工,-2.97,70.0,1.1
sh512070,证券保险ETF易方达,2026-09-22,0.791,1.54,0.25,0.89,19.4,-20.42,0.7988,0.7986,均线纠缠偏空,0.49,425177818.6,2706,1,非银金融,33.3,47.8,62.3,,,,
sh516160,新能源ETF南方,2026-09-22,2.334,1.52,-5.35,-21.97,3.7,-31.01,2.3698,2.4846,空头排列,0.63,111978438.45,1365,0,新能源,31.9,10.1,17.4,电池,-17.8,37.7,-0.18
sh515170,食品饮料ETF华夏,2026-09-22,0.461,1.32,-0.65,5.98,16.9,-24.8,0.4628,0.4636,空头排列,0.47,67671529.85,1381,0,食品饮料,30.4,36.2,72.5,饮料制造,-3.13,60.9,0.08
sh513750,港股通非银ETF广发,2026-09-22,1.525,1.26,0.59,8.54,26.3,-19.74,1.5414,1.5161,均线纠缠偏多,0.51,499250548.6,686,0,非银金融·港股,29.0,53.6,79.7,,,,
sh512690,酒ETF鹏华,2026-09-22,0.415,1.22,-1.66,5.6,13.1,-33.92,0.4197,0.4216,空头排列,0.44,371273783.65,1795,2,白酒,27.5,23.9,71.0,白酒,-3.58,50.0,-0.16
sh513090,香港证券ETF易方达,2026-09-22,1.814,1.17,-0.66,1.97,18.4,-22.68,1.8479,1.8377,均线纠缠偏空,0.57,3423426069.8,1577,0,券商·港股,26.1,34.8,65.2,,,,
sh561360,石油ETF国泰,2026-09-22,1.482,1.02,0.68,11.09,50.2,-21.34,1.4882,1.4265,均线纠缠偏多,1.06,83086167.1,705,0,石油石化,24.6,56.5,87.0,,,,
sz159996,家电ETF国泰,2026-09-22,1.418,1.0,-0.84,-2.61,21.0,-13.33,1.4259,1.4229,均线纠缠偏空,0.48,67778841.15,1585,0,家电,23.2,32.6,50.7,,,,
sz159930,能源ETF汇添富,2026-09-22,1.717,0.64,-2.33,16.88,65.3,-10.9,1.7356,1.6782,均线纠缠偏多,0.93,107329070.9,3161,0,能源,21.7,21.7,95.7,,,,
sz159928,消费ETF汇添富,2026-09-22,0.658,0.61,-0.9,6.99,19.2,-26.07,0.6653,0.663,均线纠缠偏空,0.53,243076903.35,3165,1,消费,20.3,30.4,73.9,,,,
sz159870,化工ETF鹏华,2026-09-22,0.772,0.52,-1.66,-10.44,30.1,-21.3,0.7957,0.7984,空头排列,0.46,350177178.65,1351,0,化工,18.8,23.9,31.9,化学制品,-8.25,46.4,0.21
sh513190,港股通金融ETF华夏,2026-09-22,1.855,0.49,3.06,15.5,81.1,-3.03,1.8555,1.7798,均线纠缠偏多,0.99,494245403.75,719,0,金融·港股,17.4,73.9,92.8,,,,
sh512400,有色金属ETF南方,2026-09-22,1.733,0.46,-8.6,-6.53,23.8,-33.22,1.8395,1.8302,均线纠缠偏空,0.55,910045737.35,2199,0,有色金属,15.9,4.3,39.1,工业金属,-17.1,58.8,0.45
sh510230,金融ETF国泰,2026-09-22,1.337,0.3,1.52,9.5,47.7,-8.67,1.3408,1.3111,均线纠缠偏多,0.72,92442219.65,3728,1,金融,14.5,60.9,84.1,,,,
sh515210,钢铁ETF国泰,2026-09-22,1.138,0.18,-2.65,-0.61,5.9,-32.1,1.1641,1.1583,均线纠缠偏空,0.62,72926595.5,1595,0,钢铁,13.0,17.4,56.5,钢铁,-2.19,9.3,-1.09
sh561330,矿业ETF国泰,2026-09-22,0.916,0.11,-5.08,-3.17,35.9,-29.32,0.9532,0.935,均线纠缠偏空,0.66,53603710.75,947,1,矿业,11.6,11.6,49.3,,,,
sh512800,银行ETF华宝,2026-09-22,0.839,-0.47,2.19,14.31,86.1,-1.99,0.8388,0.8102,多头排列,0.79,884378598.9,2220,1,银行,10.1,68.1,91.3,银行,-23.88,32.4,-0.08
sz159865,养殖ETF国泰,2026-09-22,0.539,-0.55,0.56,10.45,29.3,-21.43,0.5496,0.5366,均线纠缠偏多,0.96,225750296.5,1348,0,养殖,8.7,52.2,85.5,养殖业,-1.01,32.4,-0.26
sz159323,港股通汽车ETF华夏,2026-09-22,0.955,-1.34,-10.24,-5.63,0.0,-34.99,1.0043,1.0498,空头排列,0.67,129551173.55,415,0,汽车·港股,7.2,1.4,40.6,,,,
sh513070,港股通消费ETF易方达,2026-09-22,1.019,-1.64,-8.77,-1.36,0.0,-31.33,1.0636,1.0937,空头排列,0.55,56166434.35,1093,0,消费·港股,5.8,2.9,53.6,,,,
sz159611,电力ETF广发,2026-09-22,1.034,-1.9,-0.1,0.19,13.9,-17.74,1.0457,1.0474,空头排列,0.52,340274866.55,1142,0,电力,4.3,43.5,59.4,电力,-22.91,17.0,-0.73
sh562550,绿电ETF华夏,2026-09-22,1.125,-2.0,-0.18,0.36,13.8,-17.76,1.138,1.1397,空头排列,0.72,78839339.95,849,0,绿色电力,2.9,40.6,60.9,电力,-22.91,17.0,-0.73
sh560280,工程机械ETF广发,2026-09-22,1.441,-2.17,-4.06,-5.13,2.1,-24.4,1.4906,1.5241,空头排列,0.47,86600498.75,706,0,工程机械,1.4,14.5,43.5,工程机械,-5.21,27.8,-0.1
