month,trading_days,adv_hkd,close_avg,close_end,adv_yi_hkd
2020-08,10,45632307806.1,7310.214999999999,7543.86,456.32
2020-09,22,36489065541.181816,7270.446363636364,7087.64,364.89
2020-10,18,31796515757.944443,7555.761666666666,7534.39,317.97
2020-11,21,50434795451.809525,7953.664761904762,8019.36,504.35
2020-12,22,44500883792.5,8106.8722727272725,8425.9,445.01
2021-01,20,72842840013.7,9149.5605,9358.11,728.43
2021-02,18,62809038009.666664,10019.49111111111,8954.44,628.09
2021-03,23,56491166263.78261,8464.843043478262,8183.8,564.91
2021-04,19,50296901409.73684,8343.435263157895,8313.18,502.97
2021-05,20,40664911933.4,7943.5695000000005,8104.35,406.65
2021-06,21,35739792085.809525,8056.592904761905,8155.37,357.4
2021-07,21,57628477567.809525,7323.944761904761,6780.97,576.28
2021-08,22,49387607839.22727,6489.940920454545,6607.77979,493.88
2021-09,21,37325284984.52381,6463.8971366666665,6101.52002,373.25
2021-10,18,33056706879.77778,6371.256131111111,6375.8501,330.57
2021-11,22,33871097780.272728,6359.005017272727,6028.62988,338.71
2021-12,22,30125665582.545456,5784.259588636364,5670.95996,301.26
2022-01,21,30650555316.095238,5615.97189,5416.29004,306.51
2022-02,17,29887750263.411766,5432.495864705883,5118.02002,298.88
2022-03,23,49119902937.0,4499.823518695652,4557.99023,491.2
2022-04,18,28395132706.88889,4240.629448333333,4471.75,283.95
2022-05,20,33014589679.15,4152.873536,4483.6001,330.15
2022-06,21,45130605315.809525,4713.344331904762,4870.29981,451.31
2022-07,20,27319546573.35,4612.3419914999995,4331.18994,273.2
2022-08,23,24715837179.0,4253.754787826087,4273.68018,247.16
2022-09,21,21693901485.0,3847.3942761904764,3450.12012,216.94
2022-10,20,27157431409.55,3194.3640015,2852.57007,271.57
2022-11,22,38775927219.181816,3480.317726818182,3798.18994,387.76
2022-12,20,37971961811.55,4131.524538,4128.79004,379.72
2023-01,18,40220866563.44444,4530.801162777778,4542.58008,402.21
2023-02,20,33938457023.9,4331.848011,3925.06006,339.38
2023-03,23,35812131231.95652,4052.3521995652177,4303.70996,358.12
2023-04,17,29023830817.411766,4091.771743529412,3901.52002,290.24
2023-05,21,24204881416.666668,3830.4162019047617,3626.72998,242.05
2023-06,21,25954990771.52381,3958.714297142857,3911.31006,259.55
2023-07,20,25378105921.15,4137.6110235,4549.9502,253.78
2023-08,23,24671671484.173912,4230.231764347826,4179.49023,246.72
2023-09,19,21327205486.789474,4003.138427894737,3920.59009,213.27
2023-10,20,18906824519.5,3796.6659910000003,3759.15991,189.07
2023-11,22,26348091724.454544,3991.4654768181817,3899.63989,263.48
2023-12,19,27905656843.63158,3715.8105078947374,3764.29004,279.06
2024-01,22,23915657042.863636,3337.0613568181816,3005.80005,239.16
2024-02,19,22002805666.0,3267.1363336842105,3431.30005,220.03
2024-03,20,28538094014.0,3493.650488,3477.55005,285.38
2024-04,20,28636640768.95,3487.1820319999997,3700.66992,286.37
2024-05,21,36902318133.2381,3929.799025238095,3690.76001,369.02
2024-06,19,27719023933.94737,3724.665771052632,3554.44995,277.19
2024-07,22,23522711978.272728,3575.208629090909,3516.87012,235.23
2024-08,22,24549912245.909092,3442.153187272728,3560.61011,245.5
2024-09,19,44274244885.789474,3715.2347605263158,4751.81006,442.74
2024-10,21,67981684479.85714,4673.620024761905,4499.1499,679.82
2024-11,21,43397163337.47619,4432.7514190476195,4353.54981,433.97
2024-12,20,40783126230.4,4477.634034000001,4468.10986,407.83
2025-01,19,47752830762.0,4456.772075789474,4723.62988,477.53
2025-02,20,116472361059.4,5419.378493,5568.14014,1164.72
2025-03,21,94257698586.80952,5765.491444285714,5394.72022,942.58
2025-04,19,87638976603.42105,4958.118395789474,5087.41992,876.39
2025-05,20,61028679918.6,5258.4810315,5170.43018,610.29
2025-06,21,59886876429.0,5278.942406666667,5302.81982,598.87
2025-07,22,63569621483.954544,5441.081831818182,5453.14014,635.7
2025-08,21,75870236129.85715,5572.377581904762,5674.31006,758.7
2025-09,22,102573462912.95454,6044.280495,6465.66016,1025.73
2025-10,20,83389954295.45,6155.458447999999,5908.08008,833.9
2025-11,20,68664702452.85,5741.446973,5599.10986,686.65
2025-12,21,51502004196.09524,5542.913297142857,5515.97998,515.02
2026-01,21,70546376670.19048,5779.972872857143,5718.18018,705.46
2026-02,17,66200721284.05882,5352.535300588235,5137.83984,662.01
2026-03,22,68941482316.81818,4911.099966363636,4649.81982,689.41
2026-04,19,55745387250.26316,4903.600509473684,4871.31982,557.45
2026-05,15,69538122058.46666,4973.490690666667,4869.56982,695.38
