month,trading_days,adv_hkd,close_avg,close_end,adv_yi_hkd
2018-01,22,155123149634.4091,31831.893181818185,32887.27,1551.23
2018-02,18,141269066909.83334,30969.27455555556,30844.721,1412.69
2018-03,21,128956761705.57143,30898.113857142853,30093.381,1289.57
2018-04,19,106061307180.1579,30376.019315789472,30808.449,1060.61
2018-05,21,97679010430.95238,30698.67819047619,30468.561,976.79
2018-06,20,105626597189.15,30070.32005,28955.109,1056.27
2018-07,21,88264956097.33333,28466.13838095238,28583.01,882.65
2018-08,23,92873130846.13043,27925.753652173913,27888.551,928.73
2018-09,19,89776173563.52632,27275.605736842106,27788.52,897.76
2018-10,21,93188079963.5238,25705.36142857143,24979.689,931.88
2018-11,22,87164680335.5,26080.989181818182,26506.75,871.65
2018-12,19,70228711589.78947,26075.62789473684,25845.699,702.29
2019-01,22,87217174200.13637,26711.562954545454,27942.471,872.17
2019-02,17,104180785496.47058,28392.371529411765,28633.18,1041.81
2019-03,21,109886859258.19048,28900.017095238094,29051.359,1098.87
2019-04,19,101738595983.42105,29881.954842105264,29699.109,1017.39
2019-05,21,96288590569.33333,28132.27495238095,26901.09,962.89
2019-06,19,80077058028.3158,27718.042684210526,28542.619,800.77
2019-07,22,67895571689.13636,28465.2995,27777.75,678.96
2019-08,22,80812370247.72728,25987.113681818184,25724.73,808.12
2019-09,21,74808471233.85715,26474.270047619048,26092.27,748.08
2019-10,21,74375509048.33333,26458.149476190476,26906.721,743.76
2019-11,21,76758229464.19048,26979.03585714286,26346.49,767.58
2019-12,20,73423059106.75,27264.285249999997,28189.75,734.23
2020-01,20,101666464883.1,28214.347499999996,26312.631,1016.66
2020-02,20,112483925624.8,27214.74405,26129.93,1124.84
2020-03,22,138378934207.0909,24107.04581818182,23603.48,1383.79
2020-04,19,97816990959.89473,24008.817210526315,24643.59,978.17
2020-05,20,111976895460.45,23807.57525,22961.471,1119.77
2020-06,21,121174119168.95238,24478.382761904762,24427.189,1211.74
2020-07,22,162044664151.22726,25316.152136363635,24595.35,1620.45
2020-08,21,132075683050.14285,25100.19161904762,25177.051,1320.76
2020-09,22,119858465770.18182,24253.175409090905,23459.051,1198.58
2020-10,18,115034173142.27777,24440.38922222222,24107.42,1150.34
2020-11,21,156243609237.7143,26119.76038095238,26341.49,1562.44
2020-12,22,136771151362.95454,26524.837318181817,27231.131,1367.71
2021-01,20,241114897268.3,28662.92055,28283.711,2411.15
2021-02,18,230710849316.22223,29869.768944444444,28980.211,2307.11
2021-03,23,190167861351.0,28836.930347826088,28378.35,1901.68
2021-04,19,150476590902.26315,28873.334894736843,28724.881,1504.77
2021-05,20,150165631711.2,28537.13445,29151.801,1501.66
2021-06,21,136104321238.61905,28850.19723809524,28827.949,1361.04
2021-07,21,179817646754.7143,27252.406571428568,25961.029,1798.18
2021-08,22,157856557406.86365,25928.810836818182,25878.99023,1578.57
2021-09,21,152367597786.8095,25223.371373809525,24575.64063,1523.68
2021-10,18,130173664555.33333,25304.14876222222,25377.24023,1301.74
2021-11,22,131457030398.59091,24912.931729545457,23475.26172,1314.57
2021-12,22,117637384287.63637,23481.234376363635,23397.66992,1176.37
2022-01,21,128379836258.38095,23974.51488142857,23802.25977,1283.8
2022-02,17,130249459226.76471,24154.535500588234,22713.02148,1302.49
2022-03,23,174723265659.9565,21338.191576521738,21996.84961,1747.23
2022-04,18,116547461716.72223,21118.466038333332,21089.39063,1165.47
2022-05,20,119278626151.7,20382.2591795,21415.19922,1192.79
2022-06,21,150381773918.42856,21516.505021904763,21859.79102,1503.82
2022-07,20,108404374119.2,20947.7268555,20156.50977,1084.04
2022-08,23,92244265454.69565,19901.783202608694,19954.39063,922.44
2022-09,21,92765477325.7619,18563.490326666666,17222.83008,927.65
2022-10,20,104492842527.5,16390.9298835,14687.02051,1044.93
2022-11,22,140168691152.5,17177.158205,18597.23047,1401.69
2022-12,20,135254566204.0,19419.5778315,19781.41016,1352.55
2023-01,18,139770837485.3889,21569.80826888889,21842.33008,1397.71
2023-02,20,118246944965.75,20951.9564455,19785.93945,1182.47
2023-03,23,126359689816.0,19883.817000869567,20400.11133,1263.6
2023-04,17,108724529814.76471,20231.571691764708,19894.57031,1087.25
2023-05,21,100923944519.04762,19522.383464285715,18234.26953,1009.24
2023-06,21,99592038752.95238,19243.45638095238,18916.42969,995.92
2023-07,20,102162472448.6,19128.495801,20078.94141,1021.62
2023-08,23,101681482493.78261,18680.44786,18382.06055,1016.81
2023-09,19,90205537582.36842,17991.179790526316,17809.66016,902.06
2023-10,20,78721297867.05,17450.353809,17112.48047,787.21
2023-11,22,95469715668.68182,17533.530272727276,17042.88086,954.7
2023-12,19,98432806733.52632,16545.904503157897,17047.39063,984.33
