month,trading_days,adv_hkd,close_avg,close_end,adv_yi_hkd
2018-01,22,36505172428.22727,12843.512272727274,13561.65,365.05
2018-02,18,32076474404.333332,12598.112222222222,12382.08,320.76
2018-03,21,45927652256.190475,12392.28380952381,11998.34,459.28
2018-04,19,35268940786.68421,12110.99947368421,12331.39,352.69
2018-05,21,34021334941.904762,12166.687142857143,11978.3,340.21
2018-06,20,36608149554.5,11723.636,11073.0,366.08
2018-07,21,28929895759.95238,10788.856666666667,11024.73,289.3
2018-08,23,29956940272.347828,10815.61652173913,10875.58,299.57
2018-09,19,29723684302.842106,10680.115263157895,11017.87,297.24
2018-10,21,30576341252.809525,10300.281428571428,10138.63,305.76
2018-11,22,26213001172.18182,10530.984545454545,10621.74,262.13
2018-12,19,25063036814.05263,10336.263684210528,10124.75,250.63
2019-01,22,27099052671.954544,10494.038181818181,11035.73,270.99
2019-02,17,30273489722.82353,11214.92,11367.45,302.73
2019-03,21,31925605113.190475,11450.95,11379.62,319.26
2019-04,19,31486203456.36842,11674.27052631579,11542.25,314.86
2019-05,21,31385088721.666668,10777.845238095239,10387.17,313.85
2019-06,19,26282866595.842106,10619.494210526316,10881.85,262.83
2019-07,22,19179193303.0,10822.977272727272,10675.31,191.79
2019-08,22,25534211661.545456,10067.020909090908,10083.2,255.34
2019-09,21,23194189434.333332,10360.374285714286,10200.97,231.94
2019-10,21,22614344325.809525,10424.36619047619,10533.24,226.14
2019-11,21,23456037759.38095,10629.89238095238,10301.82,234.56
2019-12,20,23643501548.8,10746.144499999999,11168.06,236.44
2020-01,20,29815498088.3,11097.587,10240.51,298.15
2020-02,20,32713665916.3,10681.751,10302.36,327.14
2020-03,22,50291414213.86364,9663.594090909091,9594.77,502.91
2020-04,19,30610429584.789474,9728.673157894737,10040.87,306.1
2020-05,20,31931662118.95,9714.1685,9561.03,319.32
2020-06,21,33161008363.95238,9917.390476190476,9758.63,331.61
2020-07,22,43078515816.90909,10333.953636363636,10039.96,430.79
2020-08,21,33834702403.190475,10210.888571428572,9991.48,338.35
2020-09,22,38414871151.36364,9687.6,9397.37,384.15
2020-10,18,43887345624.0,9848.332777777778,9760.24,438.87
2020-11,21,67333622920.42857,10510.614761904762,10546.47,673.34
2020-12,22,62526009120.77273,10494.481363636363,10738.4,625.26
2021-01,20,109674286184.7,11339.706,11208.78,1096.74
2021-02,18,86733114524.05556,11743.561666666666,11247.21,867.33
2021-03,23,80574700751.17392,11180.570434782609,10972.04,805.75
2021-04,19,69192788021.63158,10997.496315789473,10825.25,691.93
2021-05,20,59612247680.55,10668.211500000001,10889.12,596.12
2021-06,21,54544340870.52381,10724.964714285714,10663.39,545.44
2021-07,21,78513551879.5238,9843.958095238095,9233.22,785.14
2021-08,22,69954025489.59091,9183.983165454545,9183.75977,699.54
2021-09,21,58502548730.71429,9008.362397619048,8726.37988,585.03
2021-10,18,52430087725.833336,8969.837728333332,8961.72949,524.3
2021-11,22,51165460884.09091,8881.078125,8368.48926,511.65
2021-12,22,44451305812.09091,8329.134056363635,8236.35059,444.51
2022-01,21,49290390021.04762,8410.378489047618,8349.9502,492.9
2022-02,17,49797793517.882355,8479.427620588234,8023.92969,497.98
2022-03,23,75288716780.60869,7361.833857826087,7525.88965,752.89
2022-04,18,47291645535.611115,7206.2327211111115,7298.68945,472.92
2022-05,20,51913004380.15,6980.517530499999,7416.75049,519.13
2022-06,21,62416815515.809525,7508.533809523809,7666.87988,624.17
2022-07,20,41996629942.15,7232.125636499999,6885.47998,419.97
2022-08,23,37785279738.521736,6783.225203913043,6865.12012,377.85
2022-09,21,34387400455.61905,6359.687618095238,5914.08008,343.87
2022-10,20,40354870780.45,5578.7134525,4938.56006,403.55
2022-11,22,58225037964.545456,5832.348589090909,6374.43994,582.25
2022-12,20,53761876672.95,6618.405469,6704.93994,537.62
2023-01,18,59431559197.388885,7332.332764444444,7424.91992,594.32
2023-02,20,47157611341.1,7074.75652,6581.47022,471.58
2023-03,23,53111500144.304344,6717.845619565218,6968.85986,531.12
2023-04,17,46039928986.23529,6840.629338235294,6702.1499,460.4
2023-05,21,41993926103.666664,6608.733771428571,6163.33984,419.94
2023-06,21,39469450519.52381,6531.415714285715,6424.87988,394.69
2023-07,20,40102671125.8,6476.8735355,6899.31055,401.03
2023-08,23,39065899333.95652,6414.1861208695655,6332.41992,390.66
2023-09,19,34664896734.52631,6230.866288421053,6148.33008,346.65
2023-10,20,31739169209.65,5979.4504655,5861.74023,317.39
2023-11,22,36782781358.045456,6019.901835,5857.54004,367.83
2023-12,19,39601325220.26316,5632.109478421053,5768.5,396.01
2024-01,22,39169779563.22727,5377.768622272727,5194.04004,391.7
2024-02,19,36276012068.31579,5507.638902631579,5677.87988,362.76
2024-03,20,45400308805.85,5776.0225095000005,5810.79004,454.0
2024-04,20,46722396702.65,5954.858496999999,6273.75,467.22
2024-05,21,58724792437.90476,6658.419527142857,6392.58008,587.25
2024-06,19,47484123349.42105,6456.1142578947365,6331.85986,474.84
2024-07,22,41752263852.86364,6259.079080454546,6107.16016,417.52
