序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
295,净水概念,78,1148.69,2.27%,40.9,40.9,0.01
296,网红经济,118,1433.52,2.27%,54.11,60.15,-6.04
297,文化传媒概念,197,2774.26,2.24%,118.87,138.5,-19.63
298,污水处理,228,1777.01,2.17%,102.64,105.62,-2.98
299,网约车,29,1416.0,2.16%,15.82,16.39,-0.56
300,航运概念,87,1750.06,2.14%,95.45,110.37,-14.92
301,参股券商,226,1491.19,2.14%,80.93,90.38,-9.44
302,IP经济(谷子经济),198,1253.15,2.13%,100.89,114.83,-13.94
303,NFT概念,70,1670.81,2.11%,40.49,52.63,-12.15
304,ETC,42,1705.67,2.10%,16.01,18.62,-2.6
305,快手概念,52,1868.4,2.09%,46.17,49.6,-3.43
306,深圳国企改革,58,1858.8,2.08%,22.13,25.78,-3.65
307,地下管网,113,1311.35,2.08%,32.71,36.64,-3.93
308,钒电池,38,1405.35,2.08%,27.55,31.67,-4.12
309,云游戏,27,1475.83,2.03%,34.16,38.16,-4.0
310,大飞机,143,3643.17,2.01%,144.4,160.88,-16.47
311,数字乡村,101,1722.2,1.94%,64.32,66.8,-2.48
312,天然气,167,1666.65,1.90%,128.67,144.26,-15.59
313,跨境支付(CIPS),73,1533.36,1.89%,103.06,98.1,4.96
314,国企改革,2946,1428.3,1.88%,1398.34,1519.92,-121.59
315,绿色电力,428,1167.04,1.86%,400.37,434.76,-34.4
316,AI视频,64,2154.36,1.84%,83.44,92.09,-8.66
317,期货概念,70,1755.64,1.82%,58.01,70.19,-12.18
318,互联网保险,22,897.81,1.78%,29.59,32.4,-2.81
319,垃圾分类,98,1806.36,1.74%,27.23,29.43,-2.2
320,盐湖提锂,45,1794.0,1.74%,73.88,75.6,-1.72
321,统一大市场,120,1352.52,1.73%,59.37,60.63,-1.26
322,光热发电,51,991.24,1.71%,22.72,28.25,-5.53
323,成飞概念,43,1779.08,1.69%,33.1,43.56,-10.46
324,碳交易,121,1005.61,1.68%,106.5,116.98,-10.48
325,NMN概念,25,1301.79,1.63%,10.44,8.42,2.02
326,短剧游戏,92,1265.41,1.61%,81.89,92.68,-10.79
327,军民融合,245,1530.06,1.61%,209.2,245.17,-35.97
328,网络游戏,58,1591.12,1.60%,82.84,88.03,-5.18
329,国资云,54,1497.34,1.59%,64.79,69.67,-4.88
330,雄安新区,196,1122.51,1.57%,90.36,92.26,-1.9
331,超级品牌,49,1442.48,1.54%,77.81,81.25,-3.44
332,土壤修复,91,1036.42,1.52%,48.86,53.97,-5.11
333,固废处理,156,2206.21,1.48%,59.69,68.9,-9.21
