序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
32,光伏设备,73,7126.78,4.07%,47.09,47.54,-0.44
33,服装家纺,75,2928.77,4.05%,13.28,13.45,-0.17
34,中药,68,3186.62,4.01%,28.45,23.93,4.52
35,汽车服务及其他,26,1135.96,3.99%,7.38,6.39,0.99
36,造纸,24,2135.81,3.97%,5.9,5.7,0.19
37,白色家电,44,8227.72,3.88%,24.05,27.82,-3.78
38,计算机设备,83,3994.39,3.68%,54.67,57.67,-3.0
39,汽车零部件,275,5787.37,3.67%,86.95,91.14,-4.19
40,小家电,26,4067.91,3.53%,4.81,5.12,-0.31
41,化学纤维,29,3712.59,3.48%,13.14,14.17,-1.03
42,其他社会服务,84,19252.8,3.35%,9.27,7.62,1.65
43,饮料制造,47,5070.88,3.32%,19.66,18.99,0.67
44,IT服务,129,11937.9,3.19%,80.6,83.72,-3.12
45,包装印刷,46,4477.35,3.17%,15.72,15.19,0.53
46,军工电子,61,11954.6,3.14%,44.83,46.0,-1.17
47,环保设备,30,1430.04,3.09%,9.62,8.97,0.65
48,文化传媒,85,2744.94,2.97%,59.63,71.42,-11.79
49,建筑材料,73,5766.83,2.77%,106.4,106.17,0.24
50,能源金属,13,29687.1,2.76%,20.43,22.11,-1.68
51,建筑装饰,143,4232.45,2.55%,48.16,57.7,-9.54
52,化学原料,59,3311.71,2.55%,42.33,46.7,-4.37
53,物流,50,5286.74,2.55%,10.73,11.19,-0.46
54,电网设备,140,6442.91,2.38%,87.07,103.62,-16.55
55,通信服务,44,2674.86,2.28%,26.99,29.76,-2.78
56,教育,15,4402.48,2.25%,7.71,10.12,-2.42
57,多元金融,26,1101.41,2.24%,12.72,14.7,-1.98
58,环境治理,111,4126.02,1.90%,29.4,27.81,1.59
59,证券,50,1457.34,1.74%,53.77,64.68,-10.91
60,影视院线,20,1410.01,1.70%,13.56,16.68,-3.12
61,厨卫电器,9,6001.32,1.69%,3.16,3.15,0.01
62,轨交设备,30,1014.04,1.69%,4.95,6.36,-1.4
63,白酒,19,1981.22,1.62%,17.65,21.28,-3.63
64,黑色家电,9,4259.24,1.46%,5.71,6.63,-0.93
65,食品加工制造,66,4682.68,1.36%,26.92,29.99,-3.07
66,石油加工贸易,27,3723.54,1.31%,18.69,26.44,-7.75
67,港口航运,36,1298.07,1.17%,48.85,54.7,-5.84
68,综合,18,2292.88,0.79%,8.07,9.53,-1.46
69,零售,71,1936.11,0.79%,48.77,46.41,2.36
70,工程机械,36,2968.88,0.79%,11.61,10.82,0.79
71,钢铁,44,1514.61,0.74%,16.02,20.23,-4.21
72,汽车整车,23,2497.44,0.65%,39.81,34.75,5.07
73,机场航运,13,1740.45,0.58%,6.0,7.74,-1.74
74,游戏,23,9070.01,0.29%,18.44,25.23,-6.79
75,农化制品,61,4936.84,0.20%,35.3,45.11,-9.8
76,农产品加工,43,3892.43,-0.03%,33.21,37.95,-4.74
77,煤炭开采加工,34,3072.61,-0.14%,31.45,40.29,-8.85
78,养殖业,36,2955.43,-0.16%,19.09,21.03,-1.94
79,工业金属,55,4363.06,-0.21%,66.67,82.08,-15.41
80,保险,5,2071.28,-0.27%,16.82,17.65,-0.82
81,贸易,14,2586.21,-0.31%,2.82,3.58,-0.76
82,油气开采及服务,19,1706.99,-0.37%,18.81,21.86,-3.05
83,电力,110,1963.94,-0.43%,120.0,137.24,-17.24
84,燃气,27,1896.18,-0.43%,11.07,11.52,-0.46
85,公路铁路运输,32,1312.09,-0.60%,9.5,9.16,0.34
86,军工装备,82,2200.1,-0.72%,112.47,147.66,-35.19
87,种植业与林业,30,4914.89,-0.94%,50.74,52.23,-1.5
88,银行,84,1372.52,-1.72%,106.38,93.24,13.14
89,旅游及酒店,35,2860.16,-2.41%,20.57,25.0,-4.43
90,贵金属,14,5568.13,-2.89%,59.01,57.74,1.27
