序号,行业,公司家数,行业指数,阶段涨跌幅,流入资金,流出资金,净额
1,医疗服务,56,21473.3,14.66%,96.37,75.22,21.15
2,半导体,188,17339.2,11.30%,599.7,634.97,-35.27
3,生物制品,56,6430.17,11.29%,33.95,27.32,6.63
4,电子化学品,43,92634.2,10.17%,116.12,95.74,20.37
5,光学光电子,107,5648.52,8.64%,99.72,93.3,6.42
6,元件,63,29113.5,8.13%,512.74,485.2,27.54
7,其他电子,34,21653.4,7.68%,57.62,51.61,6.01
8,化学制药,158,6457.12,7.51%,91.13,72.65,18.48
9,塑料制品,78,11224.8,7.43%,44.85,42.9,1.95
10,非金属材料,17,32154.4,7.21%,27.84,24.0,3.84
11,互联网电商,20,9424.49,7.18%,13.13,15.7,-2.57
12,消费电子,96,12841.1,6.63%,117.42,140.91,-23.49
13,自动化设备,99,29341.4,6.48%,112.49,111.14,1.35
14,风电设备,32,4328.36,6.46%,33.86,34.23,-0.37
15,医疗器械,141,11175.4,6.23%,34.86,32.16,2.7
16,通信设备,91,10181.3,6.09%,461.39,528.18,-66.79
17,房地产,88,1763.43,6.05%,27.02,26.17,0.85
18,通用设备,254,9376.68,5.72%,150.15,138.71,11.44
19,化学制品,183,7380.41,5.65%,77.31,77.73,-0.42
20,家居用品,98,4138.4,5.60%,23.7,24.97,-1.27
21,美容护理,34,4901.69,5.38%,5.97,6.62,-0.65
22,金属新材料,34,14016.5,5.38%,19.68,17.94,1.73
23,专用设备,204,7589.23,5.15%,96.05,87.99,8.06
24,纺织制造,33,2350.95,5.08%,4.93,4.28,0.66
25,电池,107,17539.4,4.85%,143.68,119.34,24.34
26,小金属,30,8711.03,4.82%,52.49,46.37,6.13
27,医药商业,32,4703.63,4.66%,6.78,5.87,0.91
28,其他电源设备,35,6355.15,4.66%,29.9,35.49,-5.59
29,软件开发,138,1909.21,4.64%,89.41,85.27,4.14
30,橡胶制品,22,14223.0,4.55%,13.34,11.11,2.23
31,电机,26,3251.58,4.21%,5.9,5.64,0.26
