代码,名称,日期,收盘,ret5,ret20,ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,amt20,样本天数,折算修正,RS5,RS20,RS60,板块,板块5日资金净额_亿,板块当日广度_%,板块当日涨跌_%
sh562800,稀有金属ETF嘉实,2026-09-18,0.882,0.92,-8.32,-20.75,30.4,-28.93,0.9149,0.9466,空头排列,0.43,171649992.6,1208,0,44.4,7.7,11.1,小金属,6.13,83.3,2.02
sz159851,金融科技ETF华宝,2026-09-18,0.603,0.84,-1.15,-3.21,8.7,-37.84,0.6211,0.6162,均线纠缠偏空,0.6,263746369.25,1337,1,43.6,52.1,41.9,IT服务,-3.12,81.9,1.5
sh520840,港股通恒生科技ETF华安,2026-09-18,0.733,0.83,-6.03,3.53,5.7,-36.15,0.7438,0.7647,空头排列,0.45,32674806.45,261,0,42.7,18.8,60.7,,,,
sh560080,中药ETF汇添富,2026-09-18,0.928,0.32,-3.13,7.91,24.5,-18.38,0.9488,0.9667,空头排列,0.46,41895854.25,956,0,41.9,34.2,70.1,中药,4.52,97.1,3.26
sz159980,有色ETF大成,2026-09-18,2.166,0.23,0.84,6.39,81.7,-4.5,2.1619,2.124,多头排列,1.13,404571232.15,1635,0,40.6,76.9,66.7,工业金属,-15.41,64.2,0.45
sh516620,影视ETF国泰,2026-09-18,0.859,0.23,6.31,6.71,14.9,-38.51,0.8541,0.835,多头排列,0.87,51265095.95,1184,0,40.6,99.1,67.5,,,,
sh515170,食品饮料ETF华夏,2026-09-18,0.457,0.22,-1.08,6.28,14.8,-25.45,0.4632,0.4628,均线纠缠偏空,0.44,68365507.2,1379,0,39.3,53.0,65.8,饮料制造,0.67,97.9,2.43
sz159309,油气ETF汇添富,2026-09-18,1.437,0.07,0.07,10.2,50.7,-22.37,1.4316,1.3605,多头排列,1.84,77458247.5,551,0,38.5,66.7,76.1,油气开采及服务,-3.05,94.4,2.91
sh511850,招商财富宝ETF,2026-09-18,100.008,-0.0,-0.01,0.0,33.3,-0.04,100.0055,100.0048,多头排列,0.68,47223026.1,1325,0,37.2,65.0,50.0,,,,
sh513770,港股互联网ETF华宝,2026-09-18,0.333,0.0,-8.26,5.71,5.3,-49.16,0.3428,0.3566,空头排列,0.54,310746745.45,1115,1,37.2,8.5,63.2,,,,
