代码,名称,市场,可交易,链上卡位,日期,基准日期,现价,ret20,ret60,基准ret20,基准ret60,位置分位,距250日高,ma20,ma60,趋势结构,量能比,ATR20_%,日均成交额_万,硬止损_%,止损价,建议仓位_%,超额20,超额60,同市场超额20,同市场超额60
603259,药明康德,CN,True,一体化CRDMO·全球订单卡位,2026-09-21,2026-09-21,167.96,8.13,33.56,5.39,26.84,100.0,0.0,157.052,143.372,多头排列,0.68,3.07,553710.1,12.0,147.805,16.7,2.74,6.72,4.56,22.02
02269,药明生物,HK,False,生物药CDMO·国产BD分子主要承接方,2026-09-21,2026-09-21,53.0,9.05,60.41,5.39,26.84,100.0,0.0,49.721,43.824,多头排列,1.01,4.17,185370.5,12.0,46.64,16.7,3.66,33.57,5.48,48.87
02268,药明合联,HK,False,ADC CDMO·当下最热模态的瓶颈,2026-09-21,2026-09-21,80.7,15.62,46.73,5.39,26.84,88.8,-5.17,74.565,64.538,多头排列,0.61,4.66,82384.3,12.0,71.016,16.7,10.23,19.89,12.05,35.19
002821,凯莱英,CN,True,小分子CDMO,2026-09-21,2026-09-21,190.99,21.98,13.85,5.39,26.84,95.6,-2.43,172.309,167.679,多头排列,0.87,4.71,173374.4,12.0,168.071,16.7,16.59,-12.99,18.41,2.31
300759,康龙化成,CN,True,全流程CRO+CDMO·早期业务是订单先行指标,2026-09-21,2026-09-21,45.13,0.6,57.74,5.39,26.84,79.6,-11.77,42.975,40.571,多头排列,0.78,4.25,215198.2,12.0,39.714,16.7,-4.79,30.9,-2.97,46.2
300363,博腾股份,CN,True,小分子CDMO·弹性档,2026-09-21,2026-09-21,23.96,17.11,36.91,5.39,26.84,66.6,-18.2,20.744,19.152,多头排列,0.71,4.37,49029.9,12.0,21.085,16.7,11.72,10.07,13.54,25.37
603456,九洲药业,CN,True,小分子CDMO,2026-09-21,2026-09-21,16.2,3.85,20.09,5.39,26.84,43.9,-24.83,15.289,15.278,多头排列,0.75,3.19,30739.4,12.0,14.256,16.7,-1.54,-6.75,0.28,8.55
300347,泰格医药,CN,True,临床CRO·兑现慢于生产端,2026-09-21,2026-09-21,58.99,20.0,20.34,5.39,26.84,75.5,-11.17,53.249,51.192,多头排列,0.72,4.29,80320.4,12.0,51.911,16.7,14.61,-6.5,16.43,8.8
688235,百济神州,CN,True,全球商业化已兑现的唯一样本,2026-09-21,2026-09-21,267.62,-3.27,4.58,5.39,26.84,53.2,-16.37,263.743,270.194,均线纠缠偏空,0.46,2.83,81775.8,12.0,235.506,16.7,-8.66,-22.26,-6.84,-6.96
600276,恒瑞医药,CN,True,对照组·市值龙头,2026-09-21,2026-09-21,46.04,-1.54,-13.02,5.39,26.84,11.5,-36.04,45.163,50.9,均线纠缠偏空,0.51,2.03,286497.9,12.0,40.515,16.7,-6.93,-39.86,-5.11,-24.56
